L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:18.6 /0.0 B:0.0 /0.0 T0:18.6 /0.0 @:0 B
 ; ;TEMP:;ok T:18.4 /0.0 B:0.0 /0.0 T0:18.4 /0.0 @:0 B
3672;04:10:46;9,8;0
3682;04:10:47;8,0;0,0
3686;04:10:48;6,2;0,0
3668;04:10:49;8,0;0,0
3668;04:10:50;11,4;0,0
3693;04:10:50;8,4;0,0
3657;04:10:51;9,0;0,0
3690;04:10:52;7,8;0,0
3690;04:10:53;4,6;0,0
3697;04:10:54;4,2;0,0
3657;04:10:55;6,8;0,0
3664;04:10:56;10,4;0,0
3672;04:10:57;10,4;0,0
3672;04:10:57;9,8;0,0
3664;04:10:58;7,8;0,0
3708;04:10:59;3,4;0,0
3690;04:11:00;6,0;0,0
3679;04:11:01;11,6;0,0
3672;04:11:02;6,8;0,0
3686;04:11:03;3,6;0,0
3668;04:11:04;7,4;0,0
3664;04:11:04;13,8;0,0
3675;04:11:05;13,4;0,0
3672;04:11:06;13,6;0,0
3672;04:11:07;14,0;0,0
3668;04:11:08;14,2;0,0
3697;04:11:09;14,0;0,0
3664;04:11:10;11,4;0,0
3672;04:11:11;12,8;0,0
3668;04:11:11;10,8;0,0
3697;04:11:12;12,8;0,0
3686;04:11:13;11,4;0,0
3657;04:11:14;10,4;0,0
3664;04:11:15;10,4;0,0
3679;04:11:16;10,8;0,0
3664;04:11:17;8,6;0,0
3672;04:11:18;5,8;0,0
3686;04:11:18;10,6;0,0
3672;04:11:19;9,6;0,0
3679;04:11:20;8,6;0,0
