L0 = 2;d = 2;Polymer 2
 ;TEMP:;T:20.3 /0.0 B:0.0 /0.0 T0:20.3 /0.0 @:0 B
 ;TEMP:;T:20.2 /0.0 B:0.0 /0.0 T0:20.2 /0.0 @:0 B
373;07:23:04;-3,2;0
372;07:23:05;-4,6;0,0
371;07:23:06;-7,2;0,0
372;07:23:07;-2,4;0,0
372;07:23:08;-5,0;0,0
371;07:23:08;-6,6;0,0
372;07:23:09;-4,2;0,0
371;07:23:10;-1,2;0,0
371;07:23:11;-7,2;0,0
371;07:23:12;-7,2;0,0
370;07:23:13;0,0;0,0
370;07:23:14;-2,8;0,0
372;07:23:15;1,2;0,0
371;07:23:15;-7,4;0,0
387;07:23:16;3,6;0,01
515;07:23:17;172,8;0,68
602;07:23:18;321,6;1,53
649;07:23:19;456,4;2,21
666;07:23:20;604,6;2,88
664;07:23:21;749,2;3,72
662;07:23:22;870,8;4,4
589;07:23:22;959,6;5,07
635;07:23:23;1039,8;5,92
639;07:23:24;1094,0;6,59
642;07:23:25;1149,6;7,27
613;07:23:26;1191,4;8,11
647;07:23:27;1224,2;8,79
700;07:23:28;1249,2;9,47
686;07:23:29;1276,2;10,31
713;07:23:29;1295,4;10,99
758;07:23:30;1318,2;11,66
767;07:23:31;1337,4;12,51
787;07:23:32;1359,4;13,18
811;07:23:33;1368,4;13,86
845;07:23:34;1380,6;14,7
906;07:23:35;1396,0;15,38
954;07:23:36;1411,0;16,05
1001;07:23:36;1422,0;16,9
1038;07:23:37;1435,8;17,57
1093;07:23:38;1447,4;18,25
1168;07:23:39;1457,8;19,09
1190;07:23:40;1467,0;19,77
1251;07:23:41;1482,8;20,45
1281;07:23:42;1495,8;21,3
1342;07:23:43;1505,0;21,97
1426;07:23:44;1518,2;22,65
1469;07:23:44;1528,4;23,5
1543;07:23:45;1528,4;24,17
1600;07:23:46;1558,2;24,85
1668;07:23:47;1562,2;25,52
1726;07:23:48;1577,0;26,37
1790;07:23:49;1585,8;27,05
1851;07:23:50;1602,2;27,72
1936;07:23:51;1613,2;28,57
2007;07:23:51;1625,2;29,24
2143;07:23:52;1636,6;29,92
2173;07:23:53;1652,4;30,76
2219;07:23:54;1668,0;31,44
2369;07:23:55;1666,4;32,11
2429;07:23:56;1679,6;32,96
2522;07:23:57;1697,6;33,63
2617;07:23:58;1704,8;34,31
2691;07:23:58;1723,4;35,15
2837;07:23:59;1731,6;35,83
2936;07:24:00;1743,8;36,5
3043;07:24:01;1756,8;37,35
3095;07:24:02;1770,6;38,03
3195;07:24:03;1780,0;38,7
3359;07:24:04;1798,6;39,55
3514;07:24:05;1806,0;40,22
3581;07:24:05;1815,0;40,9
3931;07:24:06;1833,8;41,75
3882;07:24:07;1835,6;42,42
4052;07:24:08;1851,2;43,1
4114;07:24:09;1875,6;43,94
4306;07:24:10;1882,8;44,61
4516;07:24:11;1893,2;45,29
4624;07:24:12;1903,8;46,13
4645;07:24:12;1915,0;46,81
4964;07:24:13;1926,4;47,49
5123;07:24:14;1942,4;48,33
5349;07:24:15;1957,6;49,01
5460;07:24:16;1962,4;49,68
5662;07:24:17;1978,2;50,53
5866;07:24:18;1996,4;51,21
6069;07:24:19;2009,0;51,88
6299;07:24:19;2022,4;52,73
6367;07:24:20;2037,0;53,4
6664;07:24:21;2059,8;54,08
6790;07:24:22;2057,8;54,92
7138;07:24:23;2081,6;55,61
7335;07:24:24;2087,2;56,27
7633;07:24:25;2101,4;56,95
7936;07:24:26;2125,2;57,79
8081;07:24:26;2135,8;58,47
8307;07:24:27;2144,2;59,14
8607;07:24:28;2162,6;59,99
8750;07:24:29;2172,8;60,66
9287;07:24:30;2193,2;61,34
9419;07:24:31;2207,4;62,18
9887;07:24:32;2229,2;62,86
10035;07:24:33;2239,0;63,53
10386;07:24:33;2256,2;64,38
10920;07:24:34;2263,6;65,05
11357;07:24:35;2283,0;65,73
11528;07:24:36;2289,0;66,58
11860;07:24:37;2307,0;67,25
12396;07:24:38;2322,4;67,93
12555;07:24:39;2340,6;68,77
13148;07:24:40;2355,2;69,45
13274;07:24:40;2373,0;70,12
13940;07:24:41;2393,8;70,97
14190;07:24:42;2407,2;71,64
14586;07:24:43;2420,6;72,32
14984;07:24:44;2437,4;73,16
15445;07:24:45;2448,6;73,84
16285;07:24:46;2469,8;74,52
16614;07:24:47;2483,0;75,36
17138;07:24:47;2501,4;75,94
17699;07:24:48;2518,6;76,71
18081;07:24:49;2528,0;77,56
18926;07:24:50;2558,2;78,24
19025;07:24:51;2568,2;78,91
20267;07:24:52;2583,2;79,42
20467;07:24:53;2600,4;80,47
20761;07:24:54;2616,4;81,14
21740;07:24:55;2625,6;81,82
22243;07:24:55;2646,0;82,66
22222;07:24:56;2660,6;83,34
23762;07:24:57;2679,4;84,02
24355;07:24:58;2695,2;84,86
24355;07:24:59;2715,0;85,54
25433;07:25:00;2725,6;86,22
26633;07:25:01;2742,2;87,06
26792;07:25:02;2767,4;87,74
27749;07:25:02;2782,2;88,41
28580;07:25:03;2793,0;89,26
30519;07:25:04;2810,8;89,93
30390;07:25:05;2826,4;90,61
32472;07:25:06;2837,2;91,46
32642;07:25:07;2858,2;92,13
33086;07:25:08;2870,8;92,8
33463;07:25:09;2890,4;93,48
35777;07:25:09;2904,0;94,33
36278;07:25:10;2925,4;95,0
36099;07:25:11;2941,4;95,68
39029;07:25:12;2954,2;96,53
39479;07:25:13;2974,8;97,2
40772;07:25:14;2987,8;97,88
42521;07:25:15;2998,0;98,72
42797;07:25:16;3009,8;99,4
40926;07:25:16;3027,8;100,07
45414;07:25:17;3043,4;100,92
45990;07:25:18;3060,4;101,6
48214;07:25:19;3069,8;102,27
47662;07:25:20;3086,0;103,12
48300;07:25:21;3104,2;103,79
52559;07:25:22;3115,2;104,47
52379;07:25:23;3127,4;105,31
52922;07:25:23;3151,4;105,99
55087;07:25:24;3152,2;106,67
54993;07:25:25;3172,2;107,51
56406;07:25:26;3188,8;108,19
57991;07:25:27;3212,6;108,86
61412;07:25:28;3231,2;109,71
62535;07:25:29;3249,2;110,38
63570;07:25:30;3264,8;111,06
63935;07:25:30;3279,4;111,91
65200;07:25:31;3279,8;112,58
65893;07:25:32;3298,0;113,26
69450;07:25:33;3307,8;114,1
71031;07:25:34;3323,0;114,78
70350;07:25:35;3337,4;115,45
