L0 = 25.8;d = 2.25;Polymer N23
 ;TEMP:;T:20.2 /0.0 B:0.0 /0.0 T0:20.2 /0.0 @:0 B
 ;TEMP:;T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B
53;06:25:01;6,6;0
 ;TEMP:;T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B
50;06:25:02;1,6;0,0
48;06:25:02;1,4;0,0
47;06:25:03;-0,4;0,0
46;06:25:04;4,4;0,0
45;06:25:05;5,4;0,0
4488;06:25:06;2,2;0,0
4427;06:25:07;-6,6;0,0
4366;06:25:08;0,4;0,0
4338;06:25:09;4,2;0,0
425352;06:25:10;5,8;0,0
423000;06:25:10;5,6;0,0
423;06:25:11;8,4;0,0
41;06:25:12;7,4;0,0
4188;06:25:13;9,6;0,0
411740;06:25:14;17,2;0,0
410201;06:25:15;10,0;0,0
408;06:25:16;25,0;0,05
407134;06:25:17;147,4;0,12
407;06:25:17;208,6;0,18
405606;06:25:18;345,6;0,27
404461;06:25:19;530,6;0,33
404080;06:25:20;726,6;0,4
40542;06:25:21;927,0;0,48
403319;06:25:22;1131,4;0,55
403319;06:25:23;1338,4;0,61
404842;06:25:24;1564,2;0,7
404842;06:25:24;1777,2;0,76
403700;06:25:25;1994,6;0,83
403319;06:25:26;2197,0;0,9
403700;06:25:27;2404,4;0,98
404842;06:25:28;2621,6;1,05
403319;06:25:29;2847,0;1,11
403700;06:25:30;3066,4;1,19
404;06:25:31;3296,0;1,26
403700;06:25:31;3518,6;1,33
403319;06:25:32;3751,2;1,41
404;06:25:33;3970,4;1,48
404461;06:25:34;4210,2;1,54
404080;06:25:35;4455,0;1,62
402939;06:25:36;4688,2;1,69
404;06:25:37;4903,2;1,76
402939;06:25:38;5129,2;1,84
404842;06:25:38;5344,0;1,9
405224;06:25:39;5536,2;1,97
404461;06:25:40;5732,4;2,05
405224;06:25:41;5904,0;2,12
404842;06:25:42;6067,6;2,19
403;06:25:43;6247,0;2,27
402939;06:25:44;6395,0;2,34
403319;06:25:45;6543,4;2,4
404842;06:25:45;6663,0;2,48
405224;06:25:46;6768,8;2,55
403700;06:25:47;6872,0;2,62
404;06:25:48;6966,0;2,7
403319;06:25:49;7056,6;2,76
402559;06:25:50;7165,2;2,83
404080;06:25:51;7270,6;2,91
405224;06:25:52;7357,2;2,98
1320199;06:25:52;7419,4;3,05
18995022;06:25:53;-1709,0;3,1
6932262;06:25:54;-314,6;3,16
4266967;06:25:55;-323,4;3,23
2948963;06:25:56;-324,2;3,31
2196757;06:25:56;-322,6;3,38
1730054;06:25:57;-324,8;3,44
1397771;06:25:58;-325,6;3,53
1149066;06:25:59;-322,0;3,59
959538;06:26:00;-324,0;3,66
94;06:26:01;-321,0;3,74
80;06:26:02;-320,8;3,81
69;06:26:03;-322,6;3,87
61;06:26:03;-322,2;3,96
55;06:26:04;-325,0;4,02
51;06:26:05;-321,0;4,09
48;06:26:06;-322,6;4,17
45;06:26:07;-320,0;4,24
44;06:26:08;-320,4;4,3
42;06:26:09;-321,8;4,39
4243;06:26:10;-321,6;4,45
41389;06:26:11;-319,6;4,52
4129;06:26:11;-517,8;4,58
405606;06:26:12;-321,0;4,65
406;06:26:13;-916,8;4,73
403700;06:26:14;5849,4;4,8
403;06:26:15;-517,6;4,87
401799;06:26:16;-7523,8;4,93
401419;06:26:16;-321,8;5,02
402939;06:26:17;-320,2;5,08
407517;06:26:19;-713,6;5,2
40849;06:26:19;12013,8;5,25
406369;06:26:20;-474,6;5,33
405987;06:26:21;-266,4;5,41
4095;06:26:22;-471,8;5,46
402559;06:26:23;-268,8;5,54
40542;06:26:24;-271,8;5,61
403700;06:26:25;-273,4;5,68
402939;06:26:26;-478,0;5,74
403700;06:26:26;-474,2;5,81
402179;06:26:27;-473,8;5,88
400661;06:26:28;-675,2;5,94
400661;06:26:29;-273,2;6,01
406369;06:26:30;-873,8;6,11
40657;06:26:31;-475,4;6,17
404;06:26:32;-271,0;6,24
404080;06:26:32;-471,4;6,31
404842;06:26:33;-270,4;6,39
403700;06:26:34;-471,6;6,44
408;06:26:35;-463,6;6,55
407134;06:26:36;-267,4;6,62
409050;06:26:37;-678,0;6,72
409050;06:26:38;-262,4;6,8
40926;06:26:39;-471,6;6,85
403700;06:26:40;-676,2;6,92
41428;06:26:41;-675,6;7,05
