L0 = 41;d = 2.36;Polymer 23
 ;TEMP:;`rt
echo: External Reset
Marlin1.0.0
echo: Last Updated: Sep 10 2015 09:32:40 | Author: (none, default config)
Compiled: Sep 10 2015
echo: Free Memory: 3799  PlannerBufferBytes: 1232
echo:Hardcoded Default Settings Loaded
echo:Steps per unit:
echo:  M92 X79.94 Y81.19 Z392.16 E100.00
echo:Maximum feedrates (mm/s):
echo:  M203 X400.00 Y400.00 Z2.00 E25.00
echo:Maximum Acceleration (mm/s2):
echo:  M201 X7000 Y7000 Z100 E10000
echo:Acceleration: S=acceleration, T=retract acceleration
echo:  M204 S2000.00 T2000.00
echo:Advanced variables: S=Min feedrate (mm/s), T=Min travel feedrate (mm/s), B=minimum segment time (ms), X=maximum XY jerk (mm/s),  Z=maximum Z jerk (mm/s),  E=maximum E jerk (mm/s)
echo:  M205 S0.00 T0.00 B20000 X20.00 Z0.40 E5.00
echo:Home offset (mm):
echo:  M206 X0.00 Y0.00 Z0.00
echo:PID settings:
echo:   M301 P31.00 I0.73 D330.11
echo:SD init fail
ok T:19.9 /0.0 B:0.0 /0.0 T0:19.9 /0.0 @:0 B`
 ;TEMP:;T:20.2 /0.0 B:0.0 /0.0 T0:20.2 /0.0 @:0 B
 ;TEMP:;T:20.2 /0.0 B:0.0 /0.0 T0:20.2 /0.0 @:0 B
 ;TEMP:;T:20.1 /0.0 B:0.0 /0.0 T0:20.1 /0.0 @:0 B
41;06:52:27;0,0;0
40;06:52:27;0,0;0,0
4010;06:52:28;0,0;0,0
39;06:52:28;0,0;0,0
38;06:52:29;0,0;0,0
38;06:52:29;0,0;0,0
38321;06:52:30;0,0;0,0
38136;06:52:30;0,0;0,0
38062;06:52:30;0,0;0,0
3841;06:52:31;0,0;0,0
3829;06:52:31;0,0;0,0
3807;06:52:32;0,0;0,0
375731;06:52:32;0,0;0,0
3807;06:52:33;0,0;0,0
40695;06:52:35;0,0;0,0
40275;06:52:35;0,0;0,0
39;06:52:36;0,0;0,0
415;06:52:38;0,0;0,0
41;06:52:38;0,0;0,0
40;06:52:39;0,0;0,0
40;06:52:39;0,0;0,0
39;06:52:40;0,0;0,0
4082653;06:52:43;0,0;0,0
41;06:52:43;0,0;0,0
40;06:52:44;0,0;0,0
40;06:52:44;0,0;0,0
39;06:52:45;0,0;0,0
42207;06:52:47;0,0;0,2
41;06:52:48;0,0;0,23
40;06:52:48;0,0;0,27
40;06:52:49;0,0;0,3
39;06:52:49;0,0;0,35
39;06:52:50;0,0;0,38
38;06:52:50;0,0;0,42
38;06:52:51;0,0;0,45
38;06:52:51;0,0;0,48
3841;06:52:51;0,0;0,52
377926;06:52:52;0,0;0,55
3822;06:52:52;0,0;0,6
3807;06:52:53;0,0;0,63
375000;06:52:53;0,0;0,67
3807;06:52:54;0,0;0,7
376;06:52:54;0,0;0,73
37694;06:52:54;0,0;0,76
375731;06:52:55;0,2;0,8
3826;06:52:55;0,0;0,85
377194;06:52:56;0,0;0,88
378;06:52:56;0,0;0,91
37989;06:52:57;0,0;0,95
377926;06:52:57;0,0;0,98
3815;06:52:57;0,0;1,01
3804;06:52:58;0,0;1,06
3789;06:52:58;0,0;1,09
37;06:52:59;0,0;1,13
37438;06:52:59;0,0;1,16
3770;06:53:00;0,0;1,19
37;06:53:00;0,0;1,23
372814;06:53:01;0,0;1,26
37584;06:53:01;0,0;1,31
372814;06:53:01;0,0;1,34
373;06:53:02;0,0;1,38
375;06:53:02;0,4;1,41
374271;06:53:03;0,0;1,44
37;06:53:03;0,0;1,48
374;06:53:04;0,0;1,51
426;06:53:08;0,0;1,89
42;06:53:09;0,0;1,92
41;06:53:09;0,0;1,96
40;06:53:09;0,0;1,99
4025;06:53:10;0,0;2,02
39;06:53:10;0,0;2,06
38;06:53:11;1,6;2,1
3878;06:53:11;0,0;2,14
3852;06:53:12;0,0;2,17
38;06:53:12;0,0;2,2
37;06:53:12;0,0;2,24
37;06:53:13;0,0;2,27
37;06:53:13;875,6;2,3
1722731;06:53:19;0,0;2,8
1523873;06:53:20;0,0;2,83
1353435;06:53:20;0,0;2,88
1211478;06:53:21;0,0;2,91
1090123;06:53:21;0,0;2,95
985393;06:53:22;0,0;2,98
97;06:53:22;0,0;3,01
88;06:53:22;0,0;3,05
80;06:53:23;0,0;3,1
74;06:53:23;0,0;3,13
68;06:53:24;0,0;3,16
63;06:53:28;0,0;3,54
46;06:53:29;0,0;3,58
45;06:53:31;0,0;3,76
43;06:53:32;0,0;3,81
42;06:53:32;0,0;3,84
41;06:53:32;0,0;3,88
4326;06:53:35;0,0;4,11
41;06:53:36;0,0;4,14
41;06:53:36;0,0;4,17
40;06:53:37;0,0;4,22
4010;06:53:37;0,0;4,26
393;06:53:38;0,0;4,29
39;06:53:38;0,0;4,32
38;06:53:38;0,0;4,36
3885;06:53:39;0,0;4,39
3867;06:53:39;0,0;4,44
38136;06:53:40;0,0;4,47
37;06:53:40;0,0;4,5
376096;06:53:41;0,0;4,54
37805;06:53:41;0,0;4,57
37;06:53:41;0,0;4,6
374635;06:53:42;0,0;4,64
375000;06:53:42;0,0;4,69
375;06:53:43;0,4;4,72
37;06:53:43;0,0;4,75
375365;06:53:44;0,0;4,78
