L0 = ;d = ;Polymer 
 ;TEMP:;T:20.9 /0.0 B:0.0 /0.0 T0:20.9 /0.0 @:0 B
 ;TEMP:;T:20.9 /0.0 B:0.0 /0.0 T0:20.9 /0.0 @:0 B
5;11:48:40;0,0;0
5;11:48:41;5,4;0,0
5;11:48:42;6,4;0,0
5;11:48:43;2,0;0,0
5;11:48:44;10,4;0,0
5;11:48:44;4,0;0,0
5;11:48:45;4,4;0,0
5;11:48:46;3,0;0,0
5;11:48:47;2,8;0,0
5;11:48:48;11,6;0,0
5;11:48:49;9,4;0,0
5;11:48:50;1,8;0,0
5;11:48:51;2,6;0,0
5;11:48:51;5,2;0,0
5;11:48:52;5,6;0,04
5;11:48:53;5,0;0,13
5;11:48:54;-26,4;0,19
5;11:48:55;-94,4;0,26
5;11:48:56;184,8;0,35
5;11:48:57;457,0;0,42
5;11:48:58;721,0;0,48
5;11:48:58;984,6;0,57
5;11:48:59;1263,2;0,63
5;11:49:00;1546,2;0,7
5;11:49:01;1832,8;0,79
5;11:49:02;2099,6;0,86
5;11:49:03;2367,4;0,92
5;11:49:04;2623,8;1,01
5;11:49:05;2900,8;1,08
5;11:49:05;3166,6;1,14
5;11:49:06;3436,6;1,23
5;11:49:07;3673,0;1,3
5;11:49:08;3930,6;1,36
5;11:49:09;4190,8;1,45
5;11:49:10;4466,6;1,52
5;11:49:11;4738,0;1,59
5;11:49:12;5013,0;1,67
5;11:49:12;5303,4;1,74
5;11:49:13;5587,2;1,81
5;11:49:14;5856,0;1,89
5;11:49:15;6118,8;1,96
5;11:49:16;6372,2;2,03
5;11:49:17;6600,6;2,11
5;11:49:18;6848,8;2,18
5;11:49:19;7095,4;2,25
5;11:49:19;7326,2;2,32
5;11:49:20;7550,0;2,4
5;11:49:21;7772,0;2,47
5;11:49:22;7993,6;2,53
5;11:49:23;8220,4;2,62
5;11:49:24;8461,6;2,69
5;11:49:25;8699,2;2,76
5;11:49:26;8930,8;2,84
5;11:49:26;9160,8;2,91
5;11:49:27;9383,6;2,98
5;11:49:28;9607,0;3,06
5;11:49:29;9837,4;3,13
5;11:49:30;10061,4;3,2
5;11:49:31;10288,0;3,28
5;11:49:32;10486,8;3,35
6;11:49:33;10126,8;3,42
5;11:49:34;10115,2;3,5
5;11:49:34;9268,2;3,57
5;11:49:35;7073,0;3,64
5;11:49:36;5156,6;3,72
5;11:49:37;4980,0;3,79
5;11:49:38;4987,2;3,86
5;11:49:39;4989,2;3,94
5;11:49:40;5010,2;4,01
5;11:49:41;5019,0;4,08
5;11:49:41;5026,2;4,16
5;11:49:42;5497,6;4,23
5;11:49:43;5861,8;4,3
5;11:49:44;6203,0;4,38
5;11:49:45;6536,2;4,45
5;11:49:46;6856,4;4,52
5;11:49:47;7185,6;4,6
5;11:49:48;7507,4;4,67
5;11:49:48;7831,6;4,74
5;11:49:49;8171,6;4,82
5;11:49:50;8492,4;4,89
5;11:49:51;8830,4;4,96
5;11:49:52;9164,4;5,04
5;11:49:53;9497,8;5,11
5;11:49:54;9816,4;5,18
5;11:49:55;10123,0;5,27
5;11:49:55;10410,0;5,33
5;11:49:56;10103,8;5,4
5;11:49:57;9472,6;5,49
5;11:49:58;6451,2;5,55
5;11:49:59;700,0;5,62
7;11:50:00;-1127,4;5,71
7;11:50:01;-1390,6;5,77
7;11:50:02;814,6;5,84
6;11:50:02;-571,0;5,91
6;11:50:03;-1372,2;6,0
6;11:50:04;-1337,0;6,06
6;11:50:05;-1327,8;6,13
6;11:50:06;-1317,6;6,22
6;11:50:07;-1308,2;6,29
6;11:50:08;-1301,2;6,35
6;11:50:09;-1291,6;6,44
6;11:50:09;-1284,6;6,51
6;11:50:10;-1284,4;6,57
6;11:50:11;-1278,0;6,66
6;11:50:12;-1271,6;6,73
6;11:50:13;-1262,2;6,8
6;11:50:14;-1262,8;6,86
6;11:50:15;-1263,0;6,95
6;11:50:16;-1250,0;7,02
6;11:50:16;-1250,6;7,08
6;11:50:17;-1245,2;7,17
6;11:50:18;-1246,4;7,24
6;11:50:19;-1243,2;7,3
6;11:50:20;-1233,8;7,39
6;11:50:21;-1235,8;7,46
6;11:50:22;-1232,0;7,53
6;11:50:23;-1236,2;7,61
6;11:50:23;-1236,4;7,68
6;11:50:24;-1226,4;7,74
6;11:50:25;-1226,8;7,83
6;11:50:26;-1220,8;7,9
6;11:50:27;-1201,0;7,97
6;11:50:28;-1210,0;8,05
6;11:50:29;-1201,0;8,12
6;11:50:30;-1015,6;8,19
6;11:50:30;-1132,4;8,27
6;11:50:31;-1187,8;8,34
6;11:50:32;-1189,8;8,41
6;11:50:33;-1189,6;8,48
