L0 = ;d = ;Polymer Test;
 ;TEMP:;T:18.7 /0.0 B:0.0 /0.0 T0:18.7 /0.0 @:0 B;
 ;TEMP:;T:18.6 /0.0 B:0.0 /0.0 T0:18.6 /0.0 @:0 B;
3;4:29:16;0,4;0
3;4:29:17;-3;0
3;4:29:18;4,2;0
3;4:29:19;0,6;0
3;4:29:20;-1,2;0
3;4:29:20;-0,6;0
3;4:29:21;2;0
3;4:29:22;4,2;0
3;4:29:23;6,6;0
3;4:29:24;1;0
3;4:29:25;4,2;0
3;4:29:26;4,6;0
3;4:29:27;3,4;0
3;4:29:27;8,8;0
3;4:29:28;9,4;0
3;4:29:29;7,4;0
3;4:29:30;6;0
3;4:29:31;11,6;0
3;4:29:32;10,4;0
3;4:29:33;13,2;0
3;4:29:34;13,2;0
3;4:29:34;-236,2;0,07
3;4:29:35;86;0,14
3;4:29:36;330,6;0,2
3;4:29:37;535,6;0,29
3;4:29:38;633,8;0,35
3;4:29:39;837;0,42
3;4:29:40;1077,6;0,51
3;4:29:41;1377,6;0,58
3;4:29:41;1662,4;0,64
3;4:29:42;1938,8;0,73
3;4:29:43;2210;0,8
3;4:29:44;2480,6;0,86
3;4:29:45;2780,6;0,95
3;4:29:46;3110,6;1,02
3;4:29:47;3439,6;1,08
3;4:29:48;3746,8;1,17
3;4:29:48;4040;1,24
3;4:29:49;4334,2;1,31
3;4:29:50;4621,2;1,39
3;4:29:51;4927,6;1,46
3;4:29:52;5232,8;1,52
3;4:29:53;5543,8;1,59
3;4:29:54;5853,2;1,68
3;4:29:55;6177,4;1,75
3;4:29:55;6481;1,81
3;4:29:56;6763,4;1,9
3;4:29:57;7027;1,97
3;4:29:58;7272,8;2,03
3;4:29:59;7495,4;2,12
3;4:30:00;7713,6;2,19
3;4:30:01;7928,4;2,25
3;4:30:02;8154,2;2,34
3;4:30:03;8366,8;2,41
3;4:30:03;8605,2;2,48
3;4:30:04;8822,2;2,56
3;4:30:05;9058,8;2,63
3;4:30:06;9291;2,7
3;4:30:07;9525,4;2,78
3;4:30:08;9805,4;2,85
3;4:30:09;10086,6;2,91
3;4:30:10;10369,6;3
3;4:30:10;10646,6;3,07
3;4:30:11;10918,4;3,14
3;4:30:12;11170;3,22
3;4:30:13;11416,4;3,29
3;4:30:14;11658;3,36
3;4:30:15;11893,4;3,44
3;4:30:16;12131;3,51
3;4:30:17;12349,6;3,58
3;4:30:17;12570,4;3,66
3;4:30:18;12808,6;3,73
3;4:30:19;12547,2;3,8
3;4:30:20;9063;3,88
10;4:30:21;2697;3,95
7;4:30:22;2743,4;4,02
6;4:30:23;2786,4;4,1
6;4:30:24;2812,4;4,17
6;4:30:24;2822,6;4,24
6;4:30:25;2839,4;4,32
6;4:30:26;2848,6;4,39
6;4:30:27;2856,2;4,46
6;4:30:28;2859,6;4,54
6;4:30:29;2882;4,61
6;4:30:30;3232;4,68
6;4:30:31;3583;4,76
6;4:30:31;3910,2;4,83
6;4:30:32;4236,8;4,9
6;4:30:33;4558,8;4,99
6;4:30:34;4868,2;5,05
6;4:30:35;5209,2;5,12
6;4:30:36;5535,2;5,19
6;4:30:37;5860,2;5,27
6;4:30:38;6193,6;5,34
6;4:30:38;6541,6;5,41
6;4:30:39;6876,8;5,49
6;4:30:40;7232,2;5,56
6;4:30:41;7565;5,63
6;4:30:42;7903,8;5,71
6;4:30:43;8221,2;5,78
6;4:30:44;8546,6;5,85
6;4:30:45;8881,4;5,93
6;4:30:45;9206,8;6
6;4:30:46;9546,6;6,07
6;4:30:47;9878,4;6,15
6;4:30:48;10196,2;6,22
6;4:30:49;10492,6;6,29
6;4:30:50;10801,8;6,38
6;4:30:51;11121,2;6,44
6;4:30:52;11434;6,51
6;4:30:52;11743;6,59
6;4:30:53;12029,2;6,66
5;4:30:54;12322,2;6,73
6;4:30:55;12594;6,82
6;4:30:56;12531,2;6,88
6;4:30:57;12419,8;6,95
6;4:30:58;12591;7,04
6;4:30:59;11377,4;7,1
7;4:30:59;2808,6;7,17
8;4:31:00;2638,8;7,25
7;4:31:01;2689,8;7,32
7;4:31:02;2720,2;7,39
7;4:31:03;2743,4;7,48
7;4:31:04;6434,6;7,55
7;4:31:05;3760,8;7,61
7;4:31:06;4304;7,7
7;4:31:06;3882,4;7,76
8;4:31:07;3095,4;7,83
8;4:31:08;2113,8;7,92
7;4:31:09;2350,6;7,98
7;4:31:10;3160,2;8,05
7;4:31:11;3011,6;8,14
7;4:31:12;1157,6;8,21
8;4:31:13;764,6;8,27
7;4:31:13;1096,8;8,36
7;4:31:14;816,4;8,43
8;4:31:15;491,4;8,49
8;4:31:16;339,6;8,58
8;4:31:17;354,6;8,65
8;4:31:18;357,4;8,71
