L0 = ;d = ;Polymer 
 ;TEMP:;T:18.7 /0.0 B:0.0 /0.0 T0:18.7 /0.0 @:0 B
 ;TEMP:;T:18.8 /0.0 B:0.0 /0.0 T0:18.8 /0.0 @:0 B
113978432;07:29:19;0,9;0
188851232;07:29:20;1,1;0,0
133277072;07:29:21;0,9;0,0
115573328;07:29:22;0,9;0,0
1632389;07:29:23;-3,1;0,0
28761094;07:29:24;-58,7;0,0
1526381;07:29:25;25,7;0,0
648000;07:29:25;-86,2;0,0
614400;07:29:26;-77,0;0,0
575395;07:29:27;-103,6;0,0
440838;07:29:28;-111,2;0,0
449727;07:29:29;-95,8;0,0
381970;07:29:30;-39,7;0,0
381601;07:29:31;-60,6;0,0
4003522;07:29:32;-34,6;0,0
1622874;07:29:32;-21,8;0,0
271566;07:29:33;-28,9;0,0
406990;07:29:34;-55,0;0,0
275797;07:29:35;-49,7;0,0
190360;07:29:36;-40,4;0,0
237936;07:29:37;-16,5;0,0
244834;07:29:38;-28,8;0,0
374271;07:29:39;-63,6;0,0
391678;07:29:39;-40,8;0,0
303038;07:29:40;4,8;0,0
1068960;07:29:41;-20,0;0,0
394624;07:29:42;-164,4;0,0
5023059;07:29:43;-82,8;0,0
587040;07:29:44;-443,4;0,0
32579874;07:29:45;-8,4;0,0
30202216;07:29:46;8,1;0,0
315692;07:29:46;11,6;0,0
473284;07:29:47;-4,4;0,0
189630;07:29:48;-55,8;0,0
218411;07:29:49;-132,3;0,0
244366;07:29:50;-164,2;0,0
222460;07:29:51;-134,1;0,0
219012;07:29:52;-141,4;0,0
239293;07:29:53;-95,5;0,0
219414;07:29:53;-100,3;0,0
209288;07:29:54;-59,4;0,0
196289;07:29:55;-18,6;0,0
202108;07:29:56;20,0;0,0
135849072;07:29:57;29,3;0,0
169754304;07:29:58;32,5;0,0
284134;07:29:59;37,1;0,0
1895;07:30:00;48,3;0,0
1993;07:30:00;-106,0;0,0
1885;07:30:01;-71,9;0,0
1586;07:30:02;-261,9;0,0
1687;07:30:03;-384,0;0,0
1622;07:30:04;-460,6;0,0
1612;07:30:05;-14,3;0,0
1685;07:30:06;-97,1;0,0
1720;07:30:07;-226,8;0,0
1664;07:30:07;-43,3;0,0
1547;07:30:08;-51,3;0,0
1556;07:30:09;2,0;0,0
1535;07:30:10;3,9;0,0
1524;07:30:11;6,3;0,0
1470;07:30:12;8,8;0,0
1520;07:30:13;-19,9;0,0
1500;07:30:14;0,3;0,0
1483;07:30:14;4,9;0,0
1476;07:30:15;9,7;0,0
1463;07:30:16;71,3;0,0
1515;07:30:17;84,9;0,0
1502;07:30:18;-64,5;0,0
1535;07:30:19;-20,6;0,0
1494;07:30:20;-62,0;0,0
1510;07:30:21;-64,7;0,0
1493;07:30:21;-66,8;0,0
1468;07:30:22;-24,2;0,0
1477;07:30:23;-22,9;0,0
1456;07:30:24;-22,6;0,0
1475;07:30:25;-26,2;0,0
1436;07:30:26;-27,3;0,0
1465;07:30:27;4,8;0,0
1517;07:30:28;-38,0;0,0
1456;07:30:28;-15,1;0,0
1443;07:30:29;-8,6;0,0
1488;07:30:30;-11,2;0,0
1424;07:30:31;-27,3;0,0
1480;07:30:32;-9,7;0,0
1463;07:30:33;-29,1;0,0
1461;07:30:34;-54,2;0,0
1433;07:30:35;-69,9;0,0
1440;07:30:35;-78,9;0,0
1439;07:30:36;13,5;0,0
1449;07:30:37;17,6;0,0
1439;07:30:38;19,4;0,0
1428;07:30:39;19,7;0,0
1445;07:30:40;20,0;0,0
1428;07:30:41;19,2;0,0
1422;07:30:42;19,5;0,0
1425;07:30:42;18,9;0,0
1421;07:30:43;19,5;0,0
1445;07:30:44;20,3;0,0
1422;07:30:45;19,5;0,0
1420;07:30:46;21,5;0,0
1420;07:30:47;20,1;0,0
1410;07:30:48;-11,3;0,0
1430;07:30:49;-70,4;0,0
1525;07:30:50;7,3;0,0
1425;07:30:50;71,9;0,0
1412;07:30:51;54,7;0,0
1535;07:30:52;120,9;0,0
1505;07:30:53;-88,3;0,0
1504;07:30:54;-66,7;0,0
1500;07:30:55;-15,5;0,0
1507;07:30:56;47,4;0,0
1422;07:30:57;37,4;0,0
1429;07:30:57;38,2;0,0
1440;07:30:58;45,5;0,0
1415;07:30:59;37,9;0,0
1446;07:31:00;139,0;0,0
1398;07:31:01;151,1;0,0
1388;07:31:02;115,0;0,0
1417;07:31:03;52,5;0,0
1451;07:31:04;84,2;0,0
1415;07:31:04;87,8;0,0
1406;07:31:05;30,7;0,0
1423;07:31:06;30,3;0,0
1359;07:31:07;44,2;0,0
1379;07:31:08;79,2;0,0
1690;07:31:09;-317,0;0,0
1497;07:31:10;-50,7;0,0
1455;07:31:11;32,3;0,0
1483;07:31:11;73,6;0,0
1431;07:31:12;72,5;0,0
1417;07:31:13;76,2;0,0
1416;07:31:14;74,6;0,0
1408;07:31:15;75,0;0,0
1391;07:31:16;74,6;0,0
1417;07:31:17;62,6;0,0
1442;07:31:18;63,9;0,0
1395;07:31:18;59,4;0,0
1444;07:31:19;22,4;0,0
1406;07:31:20;46,7;0,0
1478;07:31:21;54,7;0,0
1420;07:31:22;37,6;0,0
1395;07:31:23;56,4;0,0
1477;07:31:24;30,2;0,0
1404;07:31:25;35,5;0,0
1398;07:31:25;-21,0;0,0
1401;07:31:26;-2,4;0,0
1449;07:31:27;30,8;0,0
1408;07:31:28;24,5;0,0
1405;07:31:29;-37,7;0,0
1397;07:31:30;20,5;0,0
1404;07:31:31;36,5;0,0
1405;07:31:32;4,2;0,0
1397;07:31:32;-5,0;0,0
1391;07:31:33;25,7;0,0
1404;07:31:34;16,9;0,0
1386;07:31:35;-44,4;0,0
1401;07:31:36;-2,5;0,0
1381;07:31:37;-31,3;0,0
1378;07:31:38;-21,3;0,0
1412;07:31:39;-2,1;0,0
1395;07:31:39;2,6;0,0
1364;07:31:40;45,7;0,0
1372;07:31:41;41,3;0,0
1383;07:31:42;-34,2;0,0
1359;07:31:43;38,6;0,0
1352;07:31:44;62,0;0,0
1354;07:31:45;58,6;0,0
1345;07:31:46;58,2;0,0
1345;07:31:46;56,4;0,0
1341;07:31:47;55,1;0,0
1335;07:31:48;56,9;0,0
1339;07:31:49;54,6;0,0
1341;07:31:50;53,0;0,0
1334;07:31:51;51,7;0,0
1338;07:31:52;52,2;0,0
1335;07:31:53;50,3;0,0
1327;07:31:53;50,4;0,0
1462;07:31:54;40,5;0,36
1464;07:31:55;-1,6;1,04
1554;07:31:56;-46,8;1,71
1700;07:31:57;-94,8;2,56
2014;07:31:58;-150,9;3,23
2084;07:31:59;-208,7;3,91
2301;07:32:00;-263,6;4,75
2461;07:32:00;-310,8;5,43
2582;07:32:01;-354,8;6,1
2675;07:32:02;-390,9;6,95
2820;07:32:03;-417,5;7,62
2777;07:32:04;-444,7;8,3
2800;07:32:05;-468,2;9,14
2791;07:32:06;-489,2;9,82
2870;07:32:07;-506,5;10,49
2831;07:32:07;-523,0;11,33
2888;07:32:08;-536,4;12,01
2900;07:32:09;-550,9;12,69
3112;07:32:10;-564,0;13,54
3339;07:32:11;-574,5;14,21
2936;07:32:12;-586,5;14,88
3002;07:32:13;-598,0;15,73
3014;07:32:14;-607,3;16,4
3116;07:32:15;-616,9;17,08
2951;07:32:15;-626,7;17,93
3311;07:32:16;-634,7;18,6
3032;07:32:17;-643,6;19,28
3489;07:32:18;-653,2;20,12
3363;07:32:19;-660,1;20,8
3621;07:32:20;-669,3;21,48
3294;07:32:21;-677,9;22,32
3443;07:32:22;-684,7;23,01
3704;07:32:22;-694,0;23,67
3893;07:32:23;-702,3;24,51
4529;07:32:24;-711,1;25,19
3848;07:32:25;-719,6;25,86
4239;07:32:26;-725,9;26,71
3734;07:32:27;-734,2;27,38
3135;07:32:28;-743,9;28,06
3991;07:32:29;-751,6;28,9
3339;07:32:29;-760,1;29,58
3475;07:32:30;-767,3;30,26
4235;07:32:31;-776,4;30,93
4758;07:32:32;-783,9;31,78
3856;07:32:33;-794,2;32,45
4529;07:32:34;-802,6;33,13
4382;07:32:35;-812,5;33,97
4110;07:32:36;-823,1;34,65
5012;07:32:36;-831,9;35,33
4525;07:32:37;-840,3;36,17
4549;07:32:38;-849,9;36,84
4750;07:32:39;-858,6;37,52
4783;07:32:40;-869,9;38,36
4733;07:32:41;-881,0;39,04
5154;07:32:42;-892,7;39,72
5544;07:32:43;-901,6;40,56
5280;07:32:43;-913,3;41,24
5289;07:32:44;-923,5;41,91
4056;07:32:45;-938,0;42,76
5154;07:32:46;-946,5;43,43
4809;07:32:47;-959,9;44,11
5181;07:32:48;-971,3;44,96
6120;07:32:49;-982,4;45,63
6493;07:32:50;-992,6;46,31
7388;07:32:50;-1007,2;47,15
6140;07:32:51;-1020,5;47,83
5979;07:32:52;-1034,0;48,5
6004;07:32:53;-1049,2;49,35
5390;07:32:54;-1062,4;50,02
7300;07:32:55;-1075,7;50,7
6110;07:32:56;-1091,2;51,54
6388;07:32:57;-1103,1;52,22
5999;07:32:57;-1117,9;52,89
6009;07:32:58;-1132,6;53,74
6514;07:32:59;-1147,9;54,41
5488;07:33:00;-1161,8;55,09
5759;07:33:01;-1174,5;55,94
7086;07:33:02;-1190,4;56,62
8294;07:33:03;-1205,5;57,29
7103;07:33:04;-1219,6;57,97
7370;07:33:04;-1235,8;58,81
6643;07:33:05;-1250,6;59,49
7411;07:33:06;-1262,4;60,16
9492;07:33:07;-1277,7;61,01
7749;07:33:08;-1291,4;61,68
7731;07:33:09;-1304,5;62,36
8909;07:33:10;-1315,6;63,2
6867;07:33:11;-1329,7;63,88
8840;07:33:11;-1346,4;64,55
7271;07:33:12;-1358,7;65,4
9635;07:33:13;-1370,6;66,07
8406;07:33:14;-1383,8;66,75
8242;07:33:15;-1397,4;67,59
8190;07:33:16;-1410,7;68,27
10249;07:33:17;-1420,0;68,94
7195;07:33:18;-1432,1;69,79
9411;07:33:18;-1441,9;70,47
8613;07:33:19;-1451,9;71,14
8255;07:33:20;-1464,5;71,99
9448;07:33:21;-1475,6;72,66
9455;07:33:22;-1485,5;73,34
11776;07:33:23;-1494,8;74,19
9764;07:33:24;-1507,3;74,86
9000;07:33:25;-1517,0;75,53
10145;07:33:25;-1523,6;76,38
10533;07:33:26;-1535,0;77,05
9492;07:33:27;-1545,8;77,73
10843;07:33:28;-1552,5;78,58
11145;07:33:29;-1560,0;79,25
10963;07:33:30;-1569,2;79,93
12115;07:33:31;-1578,4;80,77
11189;07:33:32;-1587,5;81,44
12604;07:33:33;-1596,9;82,12
12665;07:33:33;-1607,2;82,96
12086;07:33:34;-1617,4;83,64
13499;07:33:35;-1623,3;84,32
13022;07:33:36;-1632,3;85,16
12416;07:33:37;-1641,1;85,84
14911;07:33:38;-1649,6;86,52
13445;07:33:39;-1657,4;87,36
13232;07:33:40;-1667,0;88,03
14492;07:33:40;-1675,6;88,71
15573;07:33:41;-1685,9;89,55
12555;07:33:42;-1692,6;90,23
14340;07:33:43;-1701,1;90,9
15963;07:33:44;-1708,8;91,58
18811;07:33:45;-1717,5;92,42
18441;07:33:46;-1727,3;93,1
15977;07:33:47;-1736,0;93,77
20929;07:33:47;-1743,4;94,62
16670;07:33:48;-1747,8;95,3
17684;07:33:49;-1757,5;95,97
21138;07:33:50;-1766,5;96,82
15689;07:33:51;-1776,6;97,49
17866;07:33:52;-1785,7;98,17
15156;07:33:53;-1793,0;99,01
18714;07:33:54;-1799,7;99,69
22080;07:33:54;-1805,3;100,37
15206;07:33:55;-1815,8;101,21
39895;07:33:56;-1822,8;101,89
16244;07:33:57;-1829,4;102,56
20724;07:33:58;-1838,0;103,41
29480;07:33:59;-1846,5;104,08
22366;07:34:00;-1856,7;104,76
27918;07:34:01;-1863,0;105,6
23124;07:34:01;-1870,9;106,28
17182;07:34:02;-1879,6;106,95
26036;07:34:03;-1887,4;107,8
19912;07:34:04;-1897,5;108,47
24332;07:34:05;-1903,9;109,15
24565;07:34:06;-1911,1;109,99
18746;07:34:07;-1921,8;110,67
21445;07:34:08;-1930,1;111,34
27360;07:34:08;-1936,9;112,19
25606;07:34:09;-1946,0;112,87
26528;07:34:10;-1953,8;113,54
25908;07:34:11;-1962,9;114,39
20430;07:34:12;-1979,6;115,06
33805;07:34:13;-1992,2;115,74
49678;07:34:14;-1996,1;116,58
23385;07:34:15;-2000,6;117,26
37621;07:34:15;-2006,5;117,94
22019;07:34:16;-2009,7;118,61
48471;07:34:17;-2016,7;119,46
27251;07:34:18;-2025,0;120,13
20761;07:34:19;-2030,7;120,81
37694;07:34:20;-2037,7;121,65
29914;07:34:21;-2046,8;122,33
38804;07:34:22;-2053,0;123,01
32915;07:34:22;-2060,1;123,85
50597;07:34:23;-2066,9;124,53
44033;07:34:24;-2077,1;125,2
45168;07:34:25;-2084,8;126,05
40161;07:34:26;-2093,3;126,72
33947;07:34:27;-2101,3;127,4
36458;07:34:28;-2108,4;128,24
44436;07:34:29;-2116,0;128,92
35032;07:34:29;-2123,6;129,6
40926;07:34:30;-2132,2;130,44
45127;07:34:31;-2141,3;131,12
48129;07:34:32;-2154,5;131,79
40427;07:34:33;-2163,5;132,64
46488;07:34:34;-2170,8;133,31
41350;07:34:35;-2176,9;133,99
35386;07:34:36;-2184,0;134,83
66161;07:34:36;-2189,4;135,51
44679;07:34:37;-2198,1;136,18
43472;07:34:38;-2205,9;137,03
49939;07:34:39;-2216,4;137,7
39366;07:34:40;-2224,0;138,38
37878;07:34:41;-2232,1;139,22
34419;07:34:42;-2241,8;139,9
54343;07:34:43;-2249,6;140,58
86997;07:34:43;-2258,5;141,42
32134;07:34:44;-2269,1;142,1
44842;07:34:45;-2278,4;142,77
67625;07:34:46;-2286,3;143,62
40926;07:34:47;-2294,1;144,29
52424;07:34:48;-2299,4;144,97
36855;07:34:49;-2307,0;145,81
62947;07:34:50;-2311,2;146,49
62330;07:34:50;-2323,3;147,18
88442;07:34:51;-2332,3;147,84
38173;07:34:52;-2342,4;148,69
34680;07:34:53;-2346,3;149,36
54853;07:34:54;-2356,7;150,04
55133;07:34:55;-2365,8;150,88
54807;07:34:56;-2374,7;151,56
65839;07:34:57;-2385,0;152,23
