L0 = 20;d = 2.15;Polymer DXCP 12SPB bezTY
 ;TEMP:;T:18.4 /0.0 B:0.0 /0.0 T0:18.4 /0.0 @:0 B
 ;TEMP:;T:18.4 /0.0 B:0.0 /0.0 T0:18.4 /0.0 @:0 B
52895516;07:46:42;-7,4;0
 ;TEMP:;T:18.3 /0.0 B:0.0 /0.0 T0:18.3 /0.0 @:0 B
106024176;07:46:42;-2,6;0,0
179555232;07:46:43;-4,3;0,0
83593680;07:46:44;-4,4;0,0
250690192;07:46:45;-3,1;0,0
68334080;07:46:46;-6,4;0,0
81665992;07:46:47;-8,3;0,0
218784592;07:46:48;-7,7;0,0
79488344;07:46:49;-8,1;0,0
18574706;07:46:49;-115,1;0,22
1830581;07:46:50;-782,4;0,9
8910502;07:46:51;-1188,9;1,74
1167320;07:46:52;-1281,0;2,42
9523091;07:46:53;-1296,5;3,09
7312236;07:46:54;-1347,8;3,93
14746052;07:46:55;-1379,4;4,63
1315979;07:46:56;-1377,5;5,29
10693227;07:46:56;-1382,3;6,13
13625830;07:46:57;-1393,2;6,81
7790589;07:46:58;-1394,7;7,48
7026508;07:46:59;-1401,5;8,33
14843314;07:47:00;-1397,7;9,0
15559597;07:47:01;-1382,4;9,68
16250890;07:47:02;-1383,4;10,52
7265856;07:47:03;-1378,6;11,2
9200972;07:47:04;-1379,2;11,88
13692107;07:47:04;-1378,7;12,72
19566930;07:47:05;-1376,2;13,4
8608670;07:47:06;-1392,2;14,07
10991351;07:47:07;-1401,3;14,92
13494413;07:47:08;-1398,7;15,6
18001918;07:47:09;-1407,3;16,27
1417130;07:47:10;-1417,2;17,12
11922194;07:47:11;-1421,0;17,79
9918413;07:47:11;-1421,0;18,47
14978334;07:47:12;-1426,9;19,31
8355868;07:47:13;-1426,5;19,99
12209461;07:47:14;-1454,8;20,66
10346756;07:47:15;-1474,3;21,51
1191525;07:47:16;-1496,5;22,18
10896709;07:47:17;-1521,0;22,86
13995114;07:47:18;-1541,4;23,7
13332230;07:47:18;-1566,2;24,38
13725384;07:47:19;-1608,2;25,06
18333162;07:47:20;-1625,0;25,73
18064406;07:47:21;-1646,9;26,58
15027802;07:47:22;-1671,8;27,25
11478078;07:47:23;-1694,6;27,93
13603824;07:47:24;-1730,1;28,77
13848238;07:47:25;-1763,0;29,45
21439042;07:47:25;-1795,8;30,12
13342967;07:47:26;-1832,7;30,97
10651346;07:47:27;-1881,4;31,64
26462716;07:47:28;-1923,0;32,32
12869439;07:47:29;-1965,0;33,16
11734878;07:47:30;-2002,6;33,84
12405298;07:47:31;-2038,5;34,51
8772066;07:47:32;-2081,1;35,36
15003047;07:47:32;-2122,9;36,03
17587454;07:47:33;-2164,5;36,71
1568511;07:47:34;-2214,3;37,56
12931437;07:47:35;-2265,2;38,23
10905276;07:47:36;-2326,2;38,91
15967167;07:47:37;-2394,0;39,75
15807832;07:47:38;-2449,8;40,43
1386529;07:47:39;-2519,6;41,1
8401905;07:47:39;-2569,4;41,95
11893884;07:47:40;-2628,3;42,63
22521434;07:47:41;-2690,6;43,3
9316835;07:47:42;-2731,9;44,15
15860721;07:47:43;-2780,3;44,82
1593418;07:47:44;-2837,5;45,5
10974080;07:47:45;-2905,8;46,34
2024853;07:47:46;-2961,3;47,02
8368998;07:47:46;-3028,2;47,69
1608062;07:47:47;-3083,9;48,54
14040681;07:47:48;-3145,3;49,22
12346176;07:47:49;-3196,5;49,89
16155618;07:47:50;-3242,8;50,73
12161047;07:47:51;-3285,2;51,41
8508028;07:47:52;-3313,0;52,09
10035527;07:47:53;-3351,9;52,93
12356007;07:47:53;-3404,7;53,61
13538052;07:47:54;-3464,5;54,28
9910658;07:47:55;-3525,9;54,96
14941365;07:47:56;-3597,6;55,8
14649566;07:47:57;-3645,4;56,48
18206036;07:47:58;-3690,4;57,16
9043977;07:47:59;-3746,8;58,0
11017318;07:48:00;-3790,4;58,68
12634930;07:48:00;-3804,8;59,35
16443588;07:48:01;-3821,5;60,2
9552927;07:48:02;-3860,5;60,87
12614771;07:48:03;-3889,3;61,55
10609638;07:48:04;-3918,7;62,39
13972398;07:48:05;-3957,7;63,07
1585500;07:48:06;-3979,5;63,74
1321256;07:48:07;-3875,8;64,59
10965454;07:48:07;-42,9;65,29
1402298;07:48:08;36,1;65,95
1713996;07:48:09;35,8;66,79
10011991;07:48:10;42,3;67,47
12454812;07:48:11;41,1;68,19
