L0 = 18;d = ;Polymer 
 ;TEMP:;T:19.4 /0.0 B:0.0 /0.0 T0:19.4 /0.0 @:0 B
 ;TEMP:;T:19.3 /0.0 B:0.0 /0.0 T0:19.3 /0.0 @:0 B
56463580;08:13:50;-17,2;0
101014688;08:13:51;-20,9;0,0
205597280;08:13:52;-22,3;0,0
82883328;08:13:53;-18,9;0,0
192156544;08:13:54;-21,8;0,0
88889344;08:13:55;-17,9;0,0
57374136;08:13:56;-15,3;0,0
193000080;08:13:56;-20,0;0,0
96653776;08:13:57;-18,7;0,0
146629872;08:13:58;-15,6;0,0
153462208;08:13:59;-15,3;0,0
49263208;08:14:00;-15,1;0,0
130389296;08:14:01;-17,4;0,0
140812896;08:14:02;13,3;0,0
27505548;08:14:03;8,9;0,0
234923536;08:14:04;-6,0;0,0
77412328;08:14:04;-13,5;0,0
62332140;08:14:05;-14,6;0,0
200011168;08:14:06;-18,1;0,0
96421600;08:14:07;-18,6;0,0
138064144;08:14:08;-18,4;0,0
181796640;08:14:09;-14,6;0,0
51100608;08:14:10;-18,4;0,0
112423776;08:14:11;-13,7;0,0
169754304;08:14:11;-17,4;0,0
84133592;08:14:12;-18,1;0,0
222061184;08:14:13;-19,0;0,0
79488344;08:14:14;-16,4;0,0
61386120;08:14:15;-17,4;0,0
190490000;08:14:16;-15,1;0,0
97121264;08:14:17;-13,8;0,0
134124264;08:14:18;-16,4;0,0
195573344;08:14:18;-20,6;0,0
52259276;08:14:19;-16,2;0,0
105475568;08:14:20;-15,0;0,0
200922192;08:14:21;-17,1;0,0
81494736;08:14:22;-18,1;0,0
183320272;08:14:23;-17,9;0,0
110311976;08:14:24;-20,3;0,0
52259276;08:14:25;-17,7;0,0
135413952;08:14:25;-17,1;0,0
136727024;08:14:26;-18,2;0,0
88491176;08:14:27;-19,1;0,0
267042544;08:14:28;-20,8;0,0
69347696;08:14:29;-18,9;0,0
74839520;08:14:30;-17,2;0,0
199108368;08:14:31;-18,9;0,0
83772904;08:14:32;-21,3;0,0
159728336;08:14:32;-18,1;0,0
154012608;08:14:33;-17,6;0,0
51405280;08:14:34;-18,0;0,0
118212592;08:14:35;-16,4;0,0
163973392;08:14:36;-15,2;0,0
83593680;08:14:37;-12,8;0,0
208502976;08:14:38;-12,2;0,0
86168264;08:14:39;-14,1;0,0
58596100;08:14:39;-14,2;0,0
193000080;08:14:40;-15,5;0,0
103595776;08:14:41;-15,1;0,0
13025081;08:14:42;-170,4;0,31
11550813;08:14:43;-815,2;0,99
7920711;08:14:44;-1232,5;1,67
9244252;08:14:45;-1387,0;2,51
12180383;08:14:46;-1413,0;3,18
16667373;08:14:46;-1427,8;3,86
