L0 = 24;d = 2,4;Polymer DXCP 12spb bezTU
 ;TEMP:;T:19.9 /0.0 B:0.0 /0.0 T0:19.9 /0.0 @:0 B
 ;TEMP:;T:19.9 /0.0 B:0.0 /0.0 T0:19.9 /0.0 @:0 B
99521720;08:29:58;-0,3;0
 ;TEMP:;T:19.8 /0.0 B:0.0 /0.0 T0:19.8 /0.0 @:0 B
200922192;08:29:58;-2,0;0,0
134551568;08:29:59;-2,8;0,0
63523252;08:30:00;-3,1;0,0
135849072;08:30:01;-2,6;0,0
195573344;08:30:02;-3,5;0,0
90515016;08:30:03;-3,4;0,0
223174064;08:30:04;-3,5;0,0
13332230;08:30:05;-44,0;0,14
10162019;08:30:05;-597,4;0,82
15847478;08:30:06;-978,2;1,67
23015102;08:30:07;-1170,2;2,34
8071847;08:30:08;-1312,2;3,01
11578217;08:30:09;-1379,1;3,86
13386035;08:30:10;-1421,9;4,53
10362982;08:30:11;-1476,1;5,23
8669600;08:30:12;-1501,8;6,05
13669969;08:30:13;-1502,8;6,73
1125797;08:30:13;-1496,4;7,41
13758762;08:30:14;-1489,1;8,25
1163644;08:30:15;-1489,4;8,93
15611450;08:30:16;-1493,1;9,6
13161739;08:30:17;-1483,1;10,45
1819566;08:30:18;-1493,6;11,13
14017876;08:30:19;-1507,4;11,8
1473538;08:30:20;-1511,8;12,65
7452932;08:30:20;-1533,1;13,32
12297151;08:30:21;-1547,2;14,0
10428164;08:30:22;-1558,0;14,84
9022774;08:30:23;-1569,2;15,52
14341232;08:30:24;-1593,8;16,2
12199760;08:30:25;-1602,9;17,04
13803415;08:30:26;-1624,3;17,71
13825804;08:30:27;-1644,7;18,39
13025081;08:30:27;-1658,7;19,07
14201565;08:30:28;-1693,1;19,91
13714283;08:30:29;-1716,6;20,59
7741529;08:30:30;-1742,0;21,26
1580248;08:30:31;-1775,3;22,11
1582871;08:30:32;-1784,7;22,78
12838573;08:30:33;-1817,0;23,46
14458885;08:30:34;-1831,2;24,3
14661584;08:30:34;-1846,7;24,98
11478078;08:30:35;-1853,5;25,66
18526060;08:30:36;-1868,7;26,5
1448535;08:30:37;-1894,3;27,17
1326557;08:30:38;-1909,2;27,85
6594379;08:30:39;-1927,8;28,69
11343052;08:30:40;-1955,1;29,37
7009672;08:30:41;-1976,2;30,04
17039400;08:30:41;-1987,5;30,89
10162019;08:30:42;-1999,1;31,56
1288927;08:30:43;-2017,7;32,24
11307340;08:30:44;-2025,8;33,09
14637563;08:30:45;-2046,0;33,76
9143575;08:30:46;-2063,5;34,44
13204122;08:30:47;-2078,6;35,28
8778937;08:30:48;-2094,2;35,96
8415102;08:30:48;-2117,0;36,63
17785440;08:30:49;-2133,0;37,48
12705783;08:30:50;-2156,1;38,15
14213141;08:30:51;-2166,2;38,83
14482552;08:30:52;-2175,3;39,67
16852074;08:30:53;-2181,3;40,35
8033817;08:30:54;-2187,3;41,02
12122470;08:30:55;-2197,2;41,87
11587368;08:30:55;-2204,7;42,54
1621520;08:30:56;-2219,1;43,22
14782434;08:30:57;-2247,8;44,06
9324123;08:30:58;-2275,0;44,74
16182765;08:30:59;-2310,8;45,42
2089441;08:31:00;-2338,4;46,26
21419322;08:31:01;-2367,8;46,94
1513890;08:31:02;-2396,0;47,61
10411826;08:31:02;-2428,4;48,46
13225373;08:31:03;-2448,7;49,13
11578217;08:31:04;-2475,7;49,81
8882647;08:31:05;-2513,1;50,48
7711007;08:31:06;-2545,2;51,33
10090667;08:31:07;-2587,2;52,0
14541933;08:31:08;-2644,0;52,68
8778937;08:31:09;-2690,7;53,52
11343052;08:31:09;-2733,1;54,2
1713996;08:31:10;-2777,9;54,88
11716324;08:31:11;-2842,3;55,72
8110042;08:31:12;-2896,6;56,41
303038;08:31:13;-2947,8;57,07
16667373;08:31:14;-3002,9;57,92
18920000;08:31:15;-3064,8;58,6
12336351;08:31:16;-3121,4;59,27
15980534;08:31:16;-3191,1;60,12
9331419;08:31:17;-3260,8;60,79
11060739;08:31:18;-3329,6;61,47
10322460;08:31:19;-3386,7;62,31
8980511;08:31:20;-3450,7;62,99
1896886;08:31:21;-3515,1;63,66
18127174;08:31:22;-3570,9;64,51
9051055;08:31:23;-3614,6;65,18
20171294;08:31:23;-3663,8;65,86
17663262;08:31:24;-3713,0;66,7
12941806;08:31:25;-3769,7;67,38
10249938;08:31:26;-3822,1;68,05
11043348;08:31:27;-3866,8;68,9
15927144;08:31:28;-3915,6;69,58
12685491;08:31:29;-3959,2;70,25
15102384;08:31:30;-4018,4;71,1
10074880;08:31:31;-4069,1;71,77
9841116;08:31:31;-4113,3;72,45
8528066;08:31:32;-4161,4;73,3
22563756;08:31:33;-4206,7;73,97
8090925;08:31:34;-4256,9;74,65
12151388;08:31:35;-4272,7;75,49
10379238;08:31:36;-4244,7;76,17
1696695;08:31:37;-886,7;76,84
9058141;08:31:38;12,2;77,52
10862510;08:31:38;15,8;78,36
12952182;08:31:39;18,7;79,04
10819924;08:31:40;17,7;79,72
