L0 = 20;d = 3;Polymer chistyi 12spb;;
 ;TEMP:;T:20.1 /0.0 B:0.0 /0.0 T0:20.1 /0.0 @:0 B;;
 ;TEMP:;T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B;;
153462208;8:35:49;0,6;0;
39764724;8:35:50;4;0;
42236464;8:35:51;-1;0;
127616424;8:35:52;2,8;0;
60769188;8:35:53;3,6;0;
74401184;8:35:54;2,6;0;
109429096;8:35:54;1,2;0;
35932024;8:35:55;1,8;0;
52735260;8:35:56;0,2;0;
99767704;8:35:57;1,4;0;
49263208;8:35:58;2,4;0;
94824248;8:35:59;1,4;0;
51100608;8:36:00;0;0;
30964310;8:36:01;1,2;0;
80147208;8:36:01;2;0;
53709548;8:36:02;3,2;0;
47803780;8:36:03;-0,2;0;
125701888;8:36:04;-0,6;0;
28079102;8:36:05;3,4;0;
35178284;8:36:06;2,4;0;
104393840;8:36:07;-1,4;0;
44665160;8:36:08;1,4;0;
64189736;8:36:08;1,6;0;
69994720;8:36:09;1,2;0;
20116954;8:36:10;3,2;0;
46030696;8:36:11;2,2;0;
59665576;8:36:12;3;0;
33361148;8:36:13;3,8;0;
96190424;8:36:14;1,2;0;
28372600;8:36:15;1,6;0;
22458138;8:36:15;0,6;0;
1501522;8:36:16;4,2;0,04;
15341587;8:36:17;0,6;0,71;
6332396;8:36:18;1,4;1,56;
14458885;8:36:19;3,8;2,23;
9258725;8:36:20;3,8;2,91;
13035535;8:36:21;0;3,58;
16305655;8:36:22;1;4,43;
7009672;8:36:22;1,6;5,11;
8186936;8:36:23;2,2;5,78;
1203833;8:36:24;1;6,63;
7236998;8:36:25;3,2;7,3;
7620092;8:36:26;1,4;7,98;
16527053;8:36:27;2,8;8,83;
11818759;8:36:28;1,4;9,5;
8084560;8:36:29;0,2;10,17;
9560401;8:36:30;2;11,02;
7926956;8:36:30;0,2;11,7;
9448909;8:36:31;1;12,38;
9627929;8:36:32;1,2;13,22;
1047406;8:36:33;0,8;13,89;
9008665;8:36:34;-1,6;14,57;
10138179;8:36:35;0,2;15,41;
12604706;8:36:36;1,8;16,09;
12665239;8:36:37;1,6;16,76;
9787375;8:36:37;-0,2;17,61;
10395518;8:36:38;2;18,29;
5780283;8:36:39;2,6;18,96;
9389981;8:36:40;0,2;19,81;
10819924;8:36:41;4,4;20,48;
195084;8:36:42;3;21,16;
1886987;8:36:43;1,8;22;
7839929;8:36:44;2,2;22,68;
13119515;8:36:44;2,8;23,36;
9560401;8:36:45;2,8;24,21;
11979033;8:36:46;0,6;24,88;
7524170;8:36:47;0,8;25,55;
1322314;8:36:48;-0,6;26,4;
11387868;8:36:49;-0,4;27,08;
9172231;8:36:50;-0,2;27,75;
12675360;8:36:51;3,4;28,43;
8448179;8:36:51;2;29,27;
18688870;8:36:52;-0,8;29,95;
9237026;8:36:53;0,8;30,62;
1582871;8:36:54;2,2;31,47;
7231238;8:36:55;2,2;32,14;
8219173;8:36:56;2,2;32,82;
11351999;8:36:57;3,2;33,67;
1363265;8:36:58;4,4;34,34;
10684837;8:36:58;2,2;35,02;
14904502;8:36:59;0,8;35,86;
8724102;8:37:00;3,8;36,54;
10626302;8:37:01;2,8;37,21;
799838;8:37:02;-1,4;38,06;
13375253;8:37:03;0;38,74;
7429319;8:37:04;1,4;39,41;
8717273;8:37:05;0,4;40,26;
13151169;8:37:05;0,2;40,93;
1101302;8:37:06;2,4;41,61;
11979033;8:37:07;2,6;42,45;
12514521;8:37:08;1,4;43,13;
5278928;8:37:09;0;43,8;
11762763;8:37:10;1,8;44,65;
12900398;8:37:11;1,4;45,32;
18920000;8:37:12;0,6;46,01;
1276656;8:37:12;-1,4;46,84;
13494413;8:37:13;0,2;47,52;
8717273;8:37:14;1,2;48,2;
14399915;8:37:15;1,8;49,04;
5036075;8:37:16;-0,2;49,71;
11846870;8:37:17;1,8;50,39;
9703525;8:37:18;2,2;51,24;
9688357;8:37:19;2,6;51,91;
16499175;8:37:19;2,2;52,59;
990028;8:37:20;2,2;53,27;
1238662;8:37:21;0,6;54,11;
10965454;8:37:22;1,4;54,79;
909112;8:37:23;1,8;55,47;
7902001;8:37:24;1,6;56,31;
10913853;8:37:25;2,2;56,98;
11988536;8:37:26;0,6;57,66;
8316598;8:37:26;0,2;58,51;
10568103;8:37:27;0,6;59,18;
8758336;8:37:28;0,4;59,86;
10701625;8:37:29;1,2;60,71;
17126758;8:37:30;3,8;61,38;
12484625;8:37:31;2;62,06;
9530543;8:37:32;0,4;62,9;
25808146;8:37:33;1;63,58;
7032127;8:37:33;2,4;64,25;
9833423;8:37:34;1,4;65,1;
10518487;8:37:35;2,8;65,77;
8854876;8:37:36;1,4;66,45;
11753459;8:37:37;0,6;67,29;
12103236;8:37:38;1,6;67,97;
11423857;8:37:39;-1,2;68,64;
19619268;8:37:40;2,4;69,49;
12685491;8:37:41;2;70,16;
11753459;8:37:41;3,4;70,84;
12859144;8:37:42;1,4;71,68;
10419993;8:37:43;0,2;72,36;
7271639;8:37:44;0,2;73,03;
13803415;8:37:45;4,2;73,88;
1896886;8:37:46;0,8;74,56;
10743717;8:37:47;2,8;75,23;
15102384;8:37:48;3,2;76,08;
15240310;8:37:48;1,2;76,75;
10130242;8:37:49;0,6;77,43;
9100761;8:37:50;0,2;78,27;
8581724;8:37:51;1,6;78,95;
10004159;8:37:52;2,8;79,63;
12093629;8:37:53;3;80,47;
13087948;8:37:54;-0,6;81,15;
14892239;8:37:55;-0,8;81,82;
10668079;8:37:55;3,2;82,5;
16597024;8:37:56;1,6;83,34;
7638198;8:37:57;1;84,02;
10027677;8:37:58;1,8;84,69;
10485547;8:37:59;1,2;85,54;
14329527;8:38:00;1;86,22;
1384294;8:38:01;2;86,89;
1535201;8:38:02;2,2;87,74;
11459974;8:38:02;2,2;88,41;
1411403;8:38:03;3,6;89,09;
8744627;8:38:04;0,6;89,94;
14494405;8:38:05;3,2;90,62;
7698830;8:38:06;0,4;91,29;
10460915;8:38:07;2,6;92,14;
1846469;8:38:08;5,6;92,81;
11893884;8:38:09;2,2;93,49;
11514380;8:38:09;1,4;94,35;
9058141;8:38:10;0;95,01;
14697716;8:38:11;0,2;95,69;
8910502;8:38:12;1,6;96,53;
13004206;8:38:13;2,2;97,21;
12614771;8:38:14;3,8;97,88;
10371105;8:38:15;1,2;98,73;
10668079;8:38:16;2,8;99,4;
1676790;8:38:16;1,4;100,08;
10769054;8:38:17;0;100,93;
9680785;8:38:18;1,6;101,6;
13353718;8:38:19;1;102,28;
8238575;8:38:20;2,8;102,95;
9590354;8:38:21;1,8;103,8;
14470713;8:38:22;2;104,48;
5567298;8:38:23;2,6;105,15;
1318087;8:38:23;3,8;106;
1023897;8:38:24;0,6;106,67;
8669600;8:38:25;0,6;107,35;
1453258;8:38:26;1,2;108,19;
9779722;8:38:27;0,4;108,87;
7353031;8:38:28;0,6;109,55;
13636851;8:38:29;2,2;110,39;
11441901;8:38:30;3,4;111,07;
7852307;8:38:30;4;111,75;
1613429;8:38:31;0,8;112,59;
8040145;8:38:32;1,4;113,27;
8441552;8:38:33;1,4;113,94;
7686669;8:38:34;2,4;114,79;
11605694;8:38:35;2;115,46;
