L0 = 27.5;d = 3;Polymer chistyi12spb
 ;TEMP:;T:20.1 /0.0 B:0.0 /0.0 T0:20.1 /0.0 @:0 B
 ;TEMP:;T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B
72414640;08:51:05;3,2;0
53627192;08:51:06;0,8;0,0
38354132;08:51:06;-0,4;0,0
109722024;08:51:07;2,4;0,0
31408160;08:51:08;1,2;0,0
24401378;08:51:09;0,4;0,0
32689736;08:51:10;0,6;0,0
28431854;08:51:11;1,4;0,0
22228212;08:51:12;0,8;0,0
45651528;08:51:13;0,0;0,0
32800180;08:51:13;-0,2;0,0
24142706;08:51:14;1,4;0,0
82532240;08:51:15;2,0;0,0
41474632;08:51:16;1,6;0,0
49477756;08:51:17;1,2;0,0
93932928;08:51:18;4,0;0,0
21859028;08:51:19;0,6;0,0
36888564;08:51:20;2,6;0,0
89089728;08:51:20;0,0;0,0
36844208;08:51:21;2,8;0,0
64189736;08:51:22;0,0;0,0
58215420;08:51:23;2,6;0,0
21379960;08:51:24;3,0;0,0
41102056;08:51:25;2,6;0,0
80647808;08:51:26;1,8;0,0
30898438;08:51:27;0,8;0,0
79325136;08:51:27;0,8;0,0
44007288;08:51:28;0,8;0,0
23705120;08:51:29;2,2;0,0
73823800;08:51:30;3,0;0,0
58026588;08:51:31;1,6;0,0
24833332;08:51:32;2,0;0,0
125325104;08:51:33;4,0;0,0
40373056;08:51:34;1,6;0,0
25351444;08:51:34;0,6;0,0
47533988;08:51:35;-1,2;0,0
1544;08:51:36;4,4;0,0
14;08:51:37;2,0;0,0
15;08:51:38;0,8;0,0
12;08:51:39;1,6;0,0
12;08:51:40;0,6;0,0
12;08:51:41;0,6;0,0
12;08:51:41;0,4;0,0
12;08:51:42;0,0;0,0
11;08:51:43;3,4;0,0
13;08:51:44;2,2;0,0
13;08:51:45;0,0;0,0
14;08:51:46;3,6;0,0
15;08:51:47;2,2;0,0
16;08:51:48;-0,2;0,0
16;08:51:49;-2,4;0,0
16;08:51:49;1,2;0,0
16;08:51:50;2,0;0,0
16;08:51:51;1,2;0,0
16;08:51:52;2,8;0,0
16;08:51:53;2,0;0,0
16;08:51:54;1,6;0,0
16;08:51:55;0,6;0,0
16;08:51:56;0,6;0,0
16;08:51:56;3,8;0,0
16;08:51:57;-0,8;0,0
16;08:51:58;1,0;0,0
17;08:51:59;3,2;0,0
13;08:52:00;1,2;0,0
11;08:52:01;0,4;0,0
9;08:52:02;0,4;0,0
10;08:52:03;-1,2;0,0
13;08:52:03;0,8;0,0
12;08:52:04;2,8;0,0
11;08:52:05;0,8;0,0
13;08:52:06;4,2;0,0
14;08:52:07;3,4;0,0
11;08:52:08;4,6;0,0
19;08:52:09;1,6;0,0
20;08:52:10;0,8;0,0
