L0 = 19;d = 2.5;Polymer dxcp 12spb bezTU
 ;TEMP:;T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B
23479342;09:12:21;1,8;0,0
1083;09:12:22;-1,5;0,0
1461;09:12:23;-1,3;0,0
35510164;09:12:24;-1,4;0,0
649;09:12:25;-1,4;0,0
649;09:12:25;-0,4;0,0
17708950;09:12:26;-3,3;0,0
1461;09:12:27;-1,1;0,0
1461;09:12:28;-5,0;0,0
26894546;09:12:29;-3,8;0,0
10931024;09:12:30;-1,3;0,0
649;09:12:31;-4,8;0,0
12890070;09:12:32;-1,8;0,0
1461;09:12:32;-3,6;0,0
591;09:12:33;-4,9;0,37
20725838;09:12:34;-5,2;1,05
8896562;09:12:35;-6,0;1,89
22863248;09:12:36;-4,8;2,57
7766024;09:12:37;-5,7;3,25
7405772;09:12:38;-4,8;4,09
33247766;09:12:39;-6,7;4,77
14190001;09:12:39;-5,2;5,44
649;09:12:40;-5,9;6,28
16909428;09:12:41;-5,3;6,96
1461;09:12:42;-6,9;7,64
1461;09:12:43;-7,2;8,48
28973602;09:12:44;-6,5;9,16
12036178;09:12:45;-7,8;9,84
649;09:12:46;-8,3;10,68
13983750;09:12:46;-9,3;11,35
1461;09:12:47;-9,6;12,03
1220;09:12:48;-10,9;12,87
22269770;09:12:49;-13,3;13,55
9818047;09:12:50;-12,3;14,22
25376502;09:12:51;-6,9;15,06
9680785;09:12:52;-10,4;15,74
1461;09:12:53;-11,2;16,41
37201412;09:12:53;-10,9;17,26
579;09:12:54;-9,1;17,93
8434934;09:12:55;-11,6;18,6
19053790;09:12:56;-12,7;19,45
6750352;09:12:57;-11,9;20,12
11113085;09:12:58;-11,7;20,8
33134984;09:12:59;-10,2;21,64
13814603;09:13:00;-8,6;22,32
649;09:13:00;-7,7;22,99
15303514;09:13:01;-9,3;23,83
1461;09:13:02;-9,2;24,51
1461;09:13:03;-10,9;25,19
24496422;09:13:04;-13,3;26,03
10452715;09:13:05;-12,8;26,7
547;09:13:06;-15,3;27,38
11550813;09:13:07;-14,7;28,23
1461;09:13:07;-14,2;28,9
337;09:13:08;-14,7;29,58
18754518;09:13:09;-17,4;30,42
8362430;09:13:10;-16,5;31,1
21439042;09:13:11;-15,6;31,77
6799374;09:13:12;-18,6;32,62
12084033;09:13:13;-17,4;33,29
31236302;09:13:14;-18,0;33,97
12624846;09:13:14;-18,9;34,81
649;09:13:15;-19,5;35,49
13714283;09:13:16;-20,3;36,16
1461;09:13:17;-20,8;37,01
482;09:13:18;-19,4;37,68
18870156;09:13:19;-20,1;38,36
9122144;09:13:20;-21,5;39,22
21281994;09:13:21;-22,4;39,88
6499070;09:13:22;-20,3;40,58
