L0 = 64.5;d = 1.8;Polymer 1dxyn 12cpb bezTU
 ;TEMP:;T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B
 ;TEMP:;T:19.9 /0.0 B:0.0 /0.0 T0:19.9 /0.0 @:0 B
106300552;09:22:28;4,8;0
 ;TEMP:;T:19.9 /0.0 B:0.0 /0.0 T0:19.9 /0.0 @:0 B
236163792;09:22:28;6,9;0,0
149188848;09:22:29;7,8;0,0
187238640;09:22:30;5,9;0,0
257877008;09:22:31;6,0;0,0
103860576;09:22:32;9,8;0,0
228904064;09:22:33;8,2;0,0
150236144;09:22:34;12,2;0,0
209489328;09:22:35;13,0;0,0
245213488;09:22:35;11,4;0,0
136286512;09:22:36;9,2;0,0
11298430;09:22:37;-121,6;0,3
13278675;09:22:38;-1190,9;0,98
8847945;09:22:39;-2219,7;1,65
1216283;09:22:40;-2860,4;2,5
14929061;09:22:41;-3079,5;3,19
14364668;09:22:42;-3036,2;3,85
14052098;09:22:42;-2955,5;4,69
1145453;09:22:43;-2898,1;5,37
18477588;09:22:44;-2867,2;6,05
7139623;09:22:45;-2856,7;6,89
2093215;09:22:46;-2845,0;7,57
9673215;09:22:47;-2836,5;8,24
16909428;09:22:48;-2854,3;8,92
5614112;09:22:49;-2890,8;9,76
12316731;09:22:49;-2922,5;10,44
983084;09:22:50;-2978,5;11,11
1554311;09:22:51;-3025,0;11,96
940223;09:22:52;-3100,4;12,63
19973032;09:22:53;-3164,9;13,31
8730940;09:22:54;-3227,2;14,15
11651648;09:22:55;-3300,9;14,83
16597024;09:22:56;-3352,2;15,51
12736284;09:22:56;-3420,3;16,35
16766504;09:22:57;-3488,6;17,02
11725596;09:22:58;-3556,4;17,7
21262474;09:22:59;-3642,0;18,54
10559817;09:23:00;-3718,4;19,22
18269456;09:23:01;-3798,2;19,9
7914471;09:23:02;-3874,7;20,74
11271748;09:23:03;-3952,6;21,41
8501360;09:23:03;-4017,6;22,09
2074433;09:23:04;-4098,2;22,94
11060739;09:23:05;-4169,4;23,61
13703188;09:23:06;-4235,0;24,29
11578217;09:23:07;-4300,9;25,13
9079426;09:23:08;-4360,9;25,81
10743717;09:23:09;-4423,1;26,48
13267994;09:23:10;-4479,4;27,33
7680595;09:23:10;-4537,0;28,0
10617968;09:23:11;-4591,9;28,68
20116954;09:23:12;-4639,4;29,52
6573101;09:23:13;-4669,4;30,2
1085855;09:23:14;-4692,5;30,88
15102384;09:23:15;-4720,1;31,72
1087560;09:23:16;-4705,8;32,4
959;09:23:17;-1302,0;33,07
734;09:23:17;1296,7;33,92
9093642;09:23:18;1295,7;34,59
12036178;09:23:19;1302,4;35,27
1068960;09:23:20;1298,1;36,11
14733950;09:23:21;1299,4;36,79
1015916;09:23:22;1300,5;37,46
1091835;09:23:23;1300,1;38,14
1008;09:23:24;1300,5;38,98
1234737;09:23:24;1298,7;39,66
6573101;09:23:25;1299,4;40,34
12766870;09:23:26;1299,9;41,18
9749170;09:23:27;1299,9;41,86
