L0 = 21.5;d = 2.2;Polymer 12 cpb 
 ;TEMP:;`rt
echo: External Reset
Marlin1.0.0
echo: Last Updated: Sep 10 2015 09:32:40 | Author: (none, default config)
Compiled: Sep 10 2015
echo: Free Memory: 3799  PlannerBufferBytes: 1232
echo:Hardcoded Default Settings Loaded
echo:Steps per unit:
echo:  M92 X79.94 Y81.19 Z392.16 E100.00
echo:Maximum feedrates (mm/s):
echo:  M203 X400.00 Y400.00 Z2.00 E25.00
echo:Maximum Acceleration (mm/s2):
echo:  M201 X7000 Y7000 Z100 E10000
echo:Acceleration: S=acceleration, T=retract acceleration
echo:  M204 S2000.00 T2000.00
echo:Advanced variables: S=Min feedrate (mm/s), T=Min travel feedrate (mm/s), B=minimum segment time (ms), X=maximum XY jerk (mm/s),  Z=maximum Z jerk (mm/s),  E=maximum E jerk (mm/s)
echo:  M205 S0.00 T0.00 B20000 X20.00 Z0.40 E5.00
echo:Home offset (mm):
echo:  M206 X0.00 Y0.00 Z0.00
echo:PID settings:
echo:   M301 P31.00 I0.73 D330.11
echo:SD init fail
ok T:20.3 /0.0 B:0.0 /0.0 T0:20.3 /0.0 @:0 B`
 ;TEMP:;T:20.4 /0.0 B:0.0 /0.0 T0:20.4 /0.0 @:0 B
6395;10:00:50;-7,9;0
 ;TEMP:;T:20.5 /0.0 B:0.0 /0.0 T0:20.5 /0.0 @:0 B
3584;10:00:51;-5,8;0,0
3384;10:00:52;-3,0;0,0
4623;10:00:53;-2,8;0,0
6003;10:00:54;-5,0;0,0
741815;10:00:55;-7,2;0,0
1045;10:00:55;-70,9;0,65
932;10:00:56;-203,8;1,32
835;10:00:57;-331,3;2,0
10419993;10:00:58;-454,3;2,85
17678478;10:00:59;-576,0;3,52
890;10:01:00;-694,0;4,19
19256852;10:01:01;-805,2;5,04
13278675;10:01:02;-914,6;5,72
1084;10:01:02;-1029,4;6,39
11245133;10:01:03;-1131,3;7,25
798;10:01:04;-1229,2;7,91
10956836;10:01:05;-1315,0;8,59
9208172;10:01:06;-1396,9;9,43
928;10:01:07;-1476,5;10,11
1090;10:01:08;-1551,4;10,78
9764433;10:01:09;-1614,7;11,63
1035;10:01:09;-1675,1;12,3
8778937;10:01:10;-1736,5;12,98
10257971;10:01:11;-1781,3;13,82
686;10:01:12;-1826,5;14,5
10233894;10:01:13;-1864,4;15,18
761;10:01:14;-1892,6;15,85
11450934;10:01:15;-1920,8;16,69
6887263;10:01:16;-1938,2;17,37
1159;10:01:17;-1938,6;18,05
845;10:01:17;-1961,5;18,89
12405298;10:01:18;-1978,7;19,57
878;10:01:19;-1982,6;20,24
12064868;10:01:20;-1983,6;21,08
15392541;10:01:23;-1946,9;23,62
1043;10:01:23;-1819,5;23,62
933626;10:01:23;-208,6;23,62
737;10:01:24;132,5;23,96
740;10:01:24;132,8;24,63
11979033;10:01:25;136,5;25,48
1521370;10:01:26;132,5;26,16
6332396;10:01:27;131,6;26,83
851837;10:01:28;133,5;27,68
