L0 = 18.5;d = 4;Polymer dxyn 12 cpb
 ;TEMP:;`rt
echo: External Reset
Marlin1.0.0
echo: Last Updated: Sep 10 2015 09:32:40 | Author: (none, default config)
Compiled: Sep 10 2015
echo: Free Memory: 3799  PlannerBufferBytes: 1232
echo:Hardcoded Default Settings Loaded
echo:Steps per unit:
echo:  M92 X79.94 Y81.19 Z392.16 E100.00
echo:Maximum feedrates (mm/s):
echo:  M203 X400.00 Y400.00 Z2.00 E25.00
echo:Maximum Acceleration (mm/s2):
echo:  M201 X7000 Y7000 Z100 E10000
echo:Acceleration: S=acceleration, T=retract acceleration
echo:  M204 S2000.00 T2000.00
echo:Advanced variables: S=Min feedrate (mm/s), T=Min travel feedrate (mm/s), B=minimum segment time (ms), X=maximum XY jerk (mm/s),  Z=maximum Z jerk (mm/s),  E=maximum E jerk (mm/s)
echo:  M205 S0.00 T0.00 B20000 X20.00 Z0.40 E5.00
echo:Home offset (mm):
echo:  M206 X0.00 Y0.00 Z0.00
echo:PID settings:
echo:   M301 P31.00 I0.73 D330.11
echo:SD init fail
ok T:20.5 /0.0 B:0.0 /0.0 T0:20.5 /0.0 @:0 B`
 ;TEMP:;T:20.5 /0.0 B:0.0 /0.0 T0:20.5 /0.0 @:0 B
 ;TEMP:;T:20.5 /0.0 B:0.0 /0.0 T0:20.5 /0.0 @:0 B
204645568;10:35:26;-1,0;0,0
333716992;10:35:27;5,8;0,0
338654496;10:35:28;2,3;0,0
404111744;10:35:29;1,4;0,0
199108368;10:35:30;0,8;0,0
3130128;10:35:31;1,3;0,0
18738074;10:35:32;-417,4;0,55
10601317;10:35:33;-1476,9;1,22
11165704;10:35:33;-2650,7;2,06
9136425;10:35:34;-2305,5;2,74
12624846;10:35:35;-2000,5;3,41
11642445;10:35:36;-448,1;4,26
11008655;10:35:37;-156,0;4,93
9129282;10:35:38;-156,2;5,61
15303514;10:35:39;-156,7;6,45
1513890;10:35:40;-158,1;7,13
9856526;10:35:40;-160,3;7,81
10543267;10:35:41;-158,0;8,65
40734924;10:35:42;-152,1;9,33
13893231;10:35:43;-149,8;10,0
5274440;10:35:44;-152,7;10,85
52655412;10:35:45;-154,1;11,53
