L0 = ;d = ;Polymer TEST NOVAY MODEL krep
 ;TEMP:;T:20.7 /0.0 B:0.0 /0.0 T0:20.7 /0.0 @:0 B
 ;TEMP:;T:20.9 /0.0 B:0.0 /0.0 T0:20.9 /0.0 @:0 B
9;05:58:55;3,0;0
9;05:58:56;3,0;0,0
9;05:58:57;0,0;0,0
9;05:58:58;4,4;0,0
9;05:58:59;3,4;0,0
9;05:59:00;4,4;0,0
9;05:59:00;5,4;0,0
9;05:59:01;0,6;0,0
9;05:59:02;1,4;0,0
9;05:59:03;0,0;0,0
9;05:59:04;0,8;0,0
9;05:59:05;7,6;0,0
9;05:59:06;7,2;0,0
9;05:59:07;3,6;0,0
9;05:59:07;3,4;0,0
9;05:59:08;10,2;0,0
9;05:59:09;4,2;0,0
9;05:59:10;6,6;0,0
9;05:59:11;4,4;0,0
9;05:59:12;2,4;0,0
9;05:59:13;-4,8;0,0
9;05:59:14;3,4;0,0
9;05:59:14;2,0;0,0
9;05:59:15;4,2;0,0
8;05:59:16;1,0;0,0
8;05:59:17;3,8;0,0
8;05:59:18;2,4;0,0
8;05:59:19;2,8;0,0
8;05:59:20;2,0;0,0
8;05:59:21;5,4;0,0
8;05:59:21;7,6;0,0
8;05:59:22;6,4;0,0
8;05:59:23;1,2;0,0
8;05:59:24;3,8;0,0
8;05:59:25;2,6;0,0
8;05:59:26;1,8;0,0
8;05:59:27;1,0;0,0
8;05:59:28;6,2;0,0
8;05:59:28;9,2;0,0
8;05:59:29;3,0;0,0
8;05:59:30;3,2;0,0
9;05:59:31;4,4;0,0
9;05:59:32;10,2;0,0
9;05:59:33;10,6;0,0
8;05:59:34;9,4;0,0
9;05:59:35;5,0;0,0
9;05:59:35;8,4;0,0
9;05:59:36;11,6;0,0
8;05:59:37;8,0;0,0
7;05:59:38;10,6;0,0
7;05:59:39;9,8;0,0
7;05:59:40;7,4;0,0
8;05:59:41;10,4;0,0
8;05:59:42;6,0;0,0
7;05:59:42;6,6;0,0
7;05:59:43;8,8;0,0
8;05:59:44;10,4;0,0
8;05:59:45;12,4;0,0
8;05:59:46;11,0;0,0
8;05:59:47;7,8;0,0
8;05:59:48;8,6;0,0
8;05:59:49;9,2;0,0
8;05:59:49;13,6;0,0
8;05:59:50;10,8;0,0
7;05:59:51;6,6;0,0
8;05:59:52;9,4;0,0
7;05:59:53;11,4;0,0
8;05:59:54;8,0;0,0
8;05:59:55;7,6;0,0
8;05:59:56;7,2;0,0
8;05:59:56;7,0;0,0
7;05:59:57;4,8;0,0
7;05:59:58;12,0;0,0
7;05:59:59;13,0;0,0
7;06:00:00;8,8;0,0
7;06:00:01;9,0;0,0
7;06:00:02;6,8;0,0
7;06:00:03;10,8;0,0
7;06:00:04;8,4;0,0
7;06:00:04;12,2;0,0
7;06:00:05;12,4;0,0
7;06:00:06;13,0;0,0
7;06:00:07;9,4;0,0
7;06:00:08;10,8;0,0
7;06:00:09;10,4;0,0
7;06:00:10;7,2;0,0
7;06:00:11;14,2;0,0
8;06:00:11;10,8;0,0
8;06:00:12;12,2;0,0
8;06:00:13;17,6;0,0
8;06:00:14;10,8;0,0
8;06:00:15;8,8;0,0
8;06:00:16;11,4;0,0
8;06:00:17;10,4;0,0
8;06:00:18;12,4;0,0
8;06:00:18;12,6;0,0
8;06:00:19;13,0;0,0
8;06:00:20;13,8;0,0
8;06:00:21;15,4;0,0
8;06:00:22;17,4;0,0
8;06:00:23;10,4;0,0
