L0 = 15,7;d = 3;Polymer PVC Printex
 ;TEMP:;T:21.5 /0.0 B:0.0 /0.0 T0:21.5 /0.0 @:0 B
 ;TEMP:;T:21.3 /0.0 B:0.0 /0.0 T0:21.3 /0.0 @:0 B
94824248;11:47:53;-10,6;0
46350720;11:47:54;-8,6;0,0
54971256;11:47:55;-3,0;0,0
71052344;11:47:56;-4,8;0,0
24833332;11:47:57;-7,8;0,0
52655412;11:47:57;-9,4;0,0
63413352;11:47:58;-3,0;0,0
46094412;11:47:59;-8,2;0,0
123473784;11:48:00;-2,6;0,0
26758488;11:48:01;0,0;0,0
38212808;11:48:02;-9,6;0,0
85791728;11:48:03;-3,4;0,0
41635984;11:48:04;-1,0;0,0
122029064;11:48:04;-5,8;0,0
43713508;11:48:05;-8,2;0,0
47871632;11:48:06;-5,4;0,0
149188848;11:48:07;-7,4;0,0
41314284;11:48:08;-6,2;0,0
97592816;11:48:09;-11,2;0,0
38927896;11:48:10;-6,8;0,0
31861860;11:48:11;-7,8;0,0
121672448;11:48:11;-10,4;0,0
49911652;11:48:12;-6,4;0,0
4309;11:48:13;-15,4;0,0
2894;11:48:14;-5,2;0,0
30008108;11:48:15;-8,0;0,0
120615008;11:48:16;-6,4;0,0
50204460;11:48:17;-1,0;0,0
63085528;11:48:18;-3,8;0,0
72553408;11:48:18;-6,0;0,0
29815896;11:48:19;-4,6;0,0
70918552;11:48:20;-2,6;0,0
57189972;11:48:21;-1,4;0,0
54885596;11:48:22;-3,8;0,0
92840040;11:48:23;-5,2;0,0
27818816;11:48:24;-0,8;0,0
51100608;11:48:25;-1,0;0,0
79325136;11:48:26;0,4;0,0
48768520;11:48:26;2,0;0,0
154566672;11:48:27;2,2;0,0
31791414;11:48:28;0,8;0,0
33285488;11:48:29;0,6;0,0
114294112;11:48:30;4,0;0,0
38879568;11:48:31;2,0;0,0
80984672;11:48:32;2,6;0,0
43655144;11:48:33;2,8;0,0
24640002;11:48:33;2,2;0,0
88889344;11:48:34;6,0;0,0
48351092;11:48:35;4,6;0,0
49766292;11:48:36;5,0;0,0
92624184;11:48:37;7,6;0,0
24906410;11:48:38;7,4;0,0
38687164;11:48:39;6,2;0,0
78040696;11:48:40;3,2;0,0
38879568;11:48:40;8,2;0,0
96421600;11:48:41;5,4;0,0
34015212;11:48:42;8,4;0,0
27004122;11:48:43;9,4;0,0
104126592;11:48:44;7,8;0,0
43307596;11:48:45;11,6;0,0
60162888;11:48:46;6,8;0,0
52338100;11:48:47;11,0;0,0
23234528;11:48:47;10,2;0,0
60565904;11:48:48;10,0;0,0
54714964;11:48:49;11,4;0,0
46030696;11:48:50;9,0;0,0
93932928;11:48:51;13,2;0,0
24496422;11:48:52;10,2;0,0
42514104;11:48:53;8,2;0,0
69476224;11:48:54;11,0;0,0
41744116;11:48:54;12,2;0,0
131612632;11:48:55;11,0;0,0
25885436;11:48:56;17,6;0,0
35014176;11:48:57;12,6;0,0
88889344;11:48:58;12,8;0,0
41049284;11:48:59;15,0;0,0
95049472;11:49:00;13,6;0,0
31932568;11:49:01;10,2;0,0
27647288;11:49:01;16,0;0,0
104126592;11:49:02;15,2;0,0
40321792;11:49:03;17,0;0,0
67590832;11:49:04;15,8;0,0
41798360;11:49:05;15,4;0,0
23300936;11:49:06;17,8;0,0
84679888;11:49:07;19,4;0,0
11156913;11:49:08;75,6;0,31
6363381;11:49:08;390,4;0,99
12524506;11:49:09;703,4;1,67
6024128;11:49:10;1037,6;2,51
2160816;11:49:11;1367,2;3,18
10266011;11:49:12;1698,8;3,86
11772075;11:49:13;2004,8;4,7
18705254;11:49:14;2316,4;5,38
7162431;11:49:15;2593,8;6,06
7447024;11:49:15;2855,6;6,73
12306938;11:49:16;3116,0;7,58
9186591;11:49:17;3366,0;8,25
8806478;11:49:18;3597,4;8,93
1009578;11:49:19;3827,4;9,77
15927144;11:49:20;4075,8;10,45
9918413;11:49:21;4340,6;11,12
10059122;11:49:22;4567,8;11,96
15533748;11:49:22;4776,0;12,64
9338719;11:49:23;4950,0;13,32
11218590;11:49:24;5127,8;14,16
12385553;11:49:25;5335,0;14,84
9338719;11:49:26;5509,0;15,51
9389981;11:49:27;5680,6;16,36
973902;11:49:28;5846,6;17,04
9143575;11:49:29;6032,0;17,71
12879749;11:49:29;6222,2;18,56
21223510;11:49:30;6393,8;19,23
1336161;11:49:31;6590,2;19,91
19584354;11:49:32;6759,6;20,75
2083795;11:49:33;6904,4;21,43
17214698;11:49:34;7001,8;22,1
17572348;11:49:35;6688,2;22,95
9590354;11:49:36;-83,6;23,62
8973486;11:49:36;-156,8;24,3
11559938;11:49:37;-157,0;25,14
12267839;11:49:38;-157,0;25,82
1029521;11:49:39;-155,8;26,49
12112851;11:49:40;-156,8;27,34
13246661;11:49:41;-156,8;28,08
11725596;11:49:42;-156,2;28,76
