L0 = 81,2;d = 2,25;Polymer PVC Modif dof i Tos
 ;TEMP:;T:21.6 /0.0 B:0.0 /0.0 T0:21.6 /0.0 @:0 B
 ;TEMP:;T:21.6 /0.0 B:0.0 /0.0 T0:21.6 /0.0 @:0 B
38354132;11:02:46;2,8;0,0
57745416;11:02:47;1,4;0,0
54460604;11:02:48;0,4;0,0
21859028;11:02:48;5,2;0,0
36977520;11:02:49;2,2;0,0
82010504;11:02:50;8,0;0,0
37201412;11:02:51;4,4;0,0
64868608;11:02:52;3,0;0,0
50057736;11:02:53;2,8;0,0
21478554;11:02:54;6,2;0,0
45651528;11:02:55;0,4;0,0
65676532;11:02:55;2,6;0,0
37156472;11:02:56;1,2;0,0
88889344;11:02:57;3,6;0,0
35426732;11:02:58;6,2;0,0
22083614;11:02:59;2,6;0,0
65676532;11:03:00;0,0;0,0
55577508;11:03:01;3,4;0,0
38448812;11:03:02;0,8;0,0
116550200;11:03:02;3,4;0,0
30040324;11:03:03;-1,0;0,0
23957062;11:03:04;2,4;0,0
82532240;11:03:05;1,8;0,0
48628748;11:03:06;-1,6;0,0
41314284;11:03:07;1,6;0,0
128397128;11:03:08;5,6;0,0
27169748;11:03:09;2,8;0,0
26785620;11:03:09;3,8;0,0
95960232;11:03:10;3,2;0,0
42016480;11:03:11;-0,8;0,0
46674452;11:03:12;0,0;0,0
91138528;11:03:13;5,0;0,0
24401378;11:03:14;1,0;0,0
30629396;11:03:15;-4,0;0,0
8474730;11:03:16;89,0;0,32
8021177;11:03:17;389,4;0,99
11969542;11:03:17;651,0;1,84
15482215;11:03:18;922,4;2,51
9086532;11:03:20;1171,8;2,51
11396853;11:03:20;1400,4;3,94
1073158;11:03:21;1619,2;4,79
1449714;11:03:22;1820,8;5,46
15089923;11:03:23;2017,0;6,14
13407625;11:03:24;2208,0;6,98
8820280;11:03:24;2399,8;7,66
15702715;11:03:25;2586,8;8,34
10090667;11:03:26;2769,6;9,18
9515647;11:03:27;2937,8;9,86
912677;11:03:28;3082,2;10,53
10535001;11:03:29;3216,4;11,38
7784440;11:03:30;3346,0;12,05
10617968;11:03:31;3450,2;12,73
14178445;11:03:31;3581,8;13,57
9926177;11:03:32;3680,4;14,25
9582857;11:03:33;3814,4;14,93
1011159;11:03:34;3908,2;15,6
5557970;11:03:35;4061,0;16,44
17010406;11:03:36;4192,8;17,12
716784;11:03:37;4292,0;17,8
10477329;11:03:38;4406,0;18,64
22841676;11:03:38;4514,8;19,32
17170652;11:03:39;4596,2;19,99
14029273;11:03:40;4661,8;20,84
1799338;11:03:41;4736,4;21,51
8724102;11:03:42;4834,2;22,19
19919412;11:03:43;4930,2;23,03
15507960;11:03:44;5049,6;23,71
6138936;11:03:45;5157,2;24,39
9605369;11:03:45;5257,8;25,23
1477152;11:03:46;5346,2;25,91
8966465;11:03:47;5434,8;26,58
5066538;11:03:48;5506,2;27,43
16346882;11:03:49;5568,6;28,1
8820280;11:03:50;5624,6;28,78
8277499;11:03:51;5695,0;29,64
13182909;11:03:52;5765,4;30,3
6058890;11:03:52;5843,0;30,97
26921882;11:03:53;5943,2;31,82
15572543;11:03:54;6053,8;32,49
10794459;11:03:55;6144,6;33,17
6174216;11:03:56;6225,6;34,02
20427524;11:03:57;6319,0;34,69
11025985;11:03:58;6382,8;35,37
15456529;11:03:59;6429,0;36,22
9711117;11:03:59;6477,4;36,89
8534758;11:04:00;6531,8;37,57
1956021;11:04:01;6597,8;38,41
10991351;11:04:02;6661,6;39,09
13310777;11:04:03;6688,2;39,76
18803960;11:04:04;6684,2;40,61
8924461;11:04:05;3021,6;41,28
6981691;11:04:06;-109,0;41,96
18174438;11:04:06;-110,8;42,64
7500358;11:04:07;-115,2;43,48
11387868;11:04:08;-114,8;44,16
11130596;11:04:09;-108,6;44,83
14518149;11:04:10;-110,6;45,68
1535201;11:04:11;-112,6;46,35
15533748;11:04:12;-111,6;47,03
19532154;11:04:13;-112,8;47,87
19866002;11:04:13;-108,4;48,55
9779722;11:04:14;-109,2;49,23
964051;11:04:15;-111,4;50,07
10395518;11:04:16;-110,2;50,75
13151169;11:04:17;-116,6;51,43
15860721;11:04:18;-112,2;52,26
36888564;11:04:19;-116,4;52,94
24979786;11:04:20;-113,0;53,62
71321120;11:04:20;-109,4;54,47
48282136;11:04:21;-111,0;55,14
47466944;11:04:22;-114,8;55,82
110311976;11:04:23;-116,8;56,49
25053476;11:04:24;-112,8;57,33
35593912;11:04:25;-111,0;58,04
