L0 = 19,48;d = 2,8;Polymer PVC DOF TOS
 ;TEMP:;T:21.8 /0.0 B:0.0 /0.0 T0:21.8 /0.0 @:0 B
 ;TEMP:;T:21.7 /0.0 B:0.0 /0.0 T0:21.7 /0.0 @:0 B
94824248;11:18:22;-11,0;0,0
41154960;11:18:23;-22,8;0,0
47200284;11:18:24;-15,4;0,0
72276328;11:18:25;-11,4;0,0
22332310;11:18:26;-17,8;0,0
36799936;11:18:27;-15,0;0,0
70256472;11:18:28;-18,4;0,0
36405316;11:18:28;-7,2;0,0
88889344;11:18:29;-7,8;0,0
31373664;11:18:30;-11,4;0,0
23637054;11:18:31;-14,8;0,0
93274352;11:18:32;-16,8;0,0
39515608;11:18:33;-13,6;0,0
49911652;11:18:34;-12,2;0,0
58788100;11:18:35;-9,4;0,0
21184648;11:18:35;-23,4;0,0
48420244;11:18:36;-19,0;0,0
55665068;11:18:37;-17,2;0,0
39416664;11:18:38;-18,0;0,0
115897240;11:18:39;-20,2;0,0
23124446;11:18:40;-14,4;0,0
30896882;11:18:41;-20,0;0,0
82532240;11:18:42;-17,2;0,0
36405316;11:18:43;-17,0;0,0
85979680;11:18:43;-24,0;0,0
30998104;11:18:44;-18,6;0,0
24640002;11:18:45;-22,4;0,0
2504769;11:18:46;-3,4;0,1
1608062;11:18:47;302,6;0,77
1696695;11:18:48;713,8;1,45
1589452;11:18:49;1101,8;2,3
10411826;11:18:50;1453,4;2,97
10922435;11:18:50;1766,8;3,65
17141374;11:18:51;2050,6;4,49
5661218;11:18:52;2326,8;5,17
12736284;11:18:53;2581,4;5,84
12484625;11:18:54;2818,0;6,69
8129204;11:18:55;3102,0;7,36
13747626;11:18:56;3373,0;8,04
7596010;11:18:57;3610,4;8,9
7729308;11:18:57;3831,4;9,56
18269456;11:18:58;4039,0;10,24
11809406;11:18:59;4215,8;11,08
11432876;11:19:00;4392,6;11,76
15303514;11:19:01;4540,0;12,43
1011950;11:19:02;4668,4;13,28
8461444;11:19:03;4841,8;13,95
11043348;11:19:04;4989,2;14,63
11104344;11:19:04;5135,0;15,47
12634930;11:19:05;5304,8;16,15
1107372;11:19:06;5482,8;16,82
1532675;11:19:07;5569,0;17,67
244132;11:19:08;5697,8;18,35
6557179;11:19:09;5842,0;19,02
10395518;11:19:10;5948,4;19,87
8468086;11:19:11;6042,6;20,54
8342758;11:19:11;6119,6;21,22
15794642;11:19:12;6205,8;21,9
7560014;11:19:13;6215,6;22,74
7088529;11:19:14;1677,4;23,42
19138050;11:19:15;-325,2;24,09
7329695;11:19:16;-355,8;24,94
17739496;11:19:17;-335,0;25,61
18413212;11:19:18;-308,4;26,29
11781398;11:19:18;-322,2;27,13
22166080;11:19:19;-322,2;27,81
8375568;11:19:20;-321,4;28,49
11651648;11:19:21;-322,8;29,33
6793913;11:19:22;-322,8;30,01
21838768;11:19:23;-322,8;30,7
