L0 = 18.7;d = 2.9;Polymer (100mch PVC) (5mch(SKDSN + 20% TY printex))
 ;TEMP:;T:21.6 /0.0 B:0.0 /0.0 T0:21.6 /0.0 @:0 B
 ;TEMP:;T:21.5 /0.0 B:0.0 /0.0 T0:21.5 /0.0 @:0 B
21301542;11:28:24;1,6;0
57652196;11:28:25;-1,8;0,0
54545128;11:28:26;-1,0;0,0
39122228;11:28:27;-0,2;0,0
123109456;11:28:28;5,6;0,0
24979786;11:28:29;3,2;0,0
27280992;11:28:30;-2,2;0,0
96421600;11:28:31;-1,6;0,0
38072320;11:28:31;0,2;0,0
57652196;11:28:32;2,0;0,0
44066428;11:28:33;0,0;0,0
20669448;11:28:34;0,0;0,0
58120848;11:28:35;-3,0;0,0
51635808;11:28:36;-3,6;0,0
41474632;11:28:37;-2,4;0,0
114611544;11:28:38;1,4;0,0
23750640;11:28:38;0,8;0,0
1052340;11:28:39;39,4;0,18
8931447;11:28:40;326,2;0,85
12258089;11:28:41;644,8;1,69
17986344;11:28:42;953,0;2,37
17816154;11:28:43;1233,2;3,05
5433167;11:28:44;1505,8;3,89
13182909;11:28:45;1758,4;4,57
15860721;11:28:45;2008,0;5,24
14259560;11:28:46;2219,6;6,08
1870641;11:28:47;2422,0;6,76
5424004;11:28:48;2645,0;7,44
16794966;11:28:49;2858,0;8,28
15598467;11:28:50;3061,4;8,96
6848696;11:28:51;3247,4;9,63
7122556;11:28:52;3422,2;10,48
18190228;11:28:52;3581,8;11,15
14006487;11:28:53;3735,0;11,83
12180383;11:28:54;3877,6;12,67
1257497;11:28:55;3978,4;13,35
9079426;11:28:56;4104,2;14,02
14282838;11:28:57;4233,8;14,87
9910658;11:28:58;4340,2;15,54
11744162;11:28:59;4448,6;16,22
13559932;11:28:59;4457,8;17,06
21597706;11:29:00;371,4;17,74
8710445;11:29:01;-233,6;18,42
15089923;11:29:02;-237,2;19,26
7920711;11:29:03;-237,8;19,94
7827566;11:29:04;-233,2;20,61
8945440;11:29:05;-233,6;21,31
